CalendarMonth,Segment,Cohort,MOB,OpeningGBV,Coll_Principal,Coll_Interest,InterestRevenue,WO_DebtSold,WO_Other,ClosingGBV_Reported,Provision_Balance,Coll_Principal_Rate,Coll_Interest_Rate,InterestRevenue_Rate_Annual,WO_DebtSold_Rate,WO_Other_Rate,Coverage_Ratio,GBV_Runoff_Rate,DataType
2019-12-31,NON PRIME,201912,0,149410727.9,-7941676.759999999,-5657772.73,5890366.198077,0.0,21801.05,153242912.6,0.0,-0.05315332353721836,-0.03786724560894131,0.4641856221559552,0.0,0.000145913551900981,0.0,-0.02564865825809278,Actual
2019-12-31,NRP-S,201912,0,43741930.37,-2525876.73,-799276.7200000001,760360.0127549999,0.0,1399.58,46661020.25,0.0,-0.05774497624211732,-0.01827255251972548,0.2046692014024951,0.0,3.199630167579181e-05,0.0,-0.06673436346563309,Actual
2020-01-31,NON PRIME,201912,1,153242946.71,-7452462.27,-4976622.78,5446647.753404,1818029.129999,24651.29,135419794.9,0.0,-0.04863168210999746,-0.03247537904252037,0.4184850671125968,0.01186370511028788,0.0001608641084581243,0.0,0.1163065067113912,Actual
2020-01-31,NON PRIME,202001,0,0.0,-283830.17,-4706.21,265009.988444,0.0,0.0,10840421.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Actual
2020-01-31,NRP-S,201912,1,46661020.6,-2623142.04,-754868.87,737617.968859,115000.001613,1013.76,43139457.68,0.0,-0.05621698810419933,-0.01617771879597507,0.1861265917126989,0.002464583931818242,2.17260571450081e-05,0.0,0.07547119361551216,Actual
2020-01-31,NRP-S,202001,0,0.0,-142154.38,-1347.15,48950.198254,0.0,0.0,5763894.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Actual
2020-02-29,NON PRIME,201912,2,135419794.9,-5773058.279999999,-3505201.41,4855731.389218,0.0,16023.31,129557207.63,0.0,-0.04263083018448729,-0.02588396631813241,0.4513021153510717,0.0,0.0001183232481767701,0.0,0.04329195206896603,Actual
2020-02-29,NON PRIME,202001,0,0.0,-181225.02,-2753.53,154825.421445,0.0,0.0,6760054.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Actual
2020-02-29,NON PRIME,202001,1,10840421.47,-491840.17,-418731.23,448287.3045340001,0.0,74.38,10382324.35,0.0,-0.04537094534203567,-0.03862684040088341,0.5204813096591174,0.0,6.86135683984619e-06,0.0,0.04225823887638946,Actual
2020-02-29,NRP-S,201912,2,43139457.68000001,-2029998.49,-552844.83,665503.3451629999,0.0,435.73,40840506.45,0.0,-0.04705665298479477,-0.012815293926523,0.1941647680112605,0.0,1.010049786050069e-05,0.0,0.05329114814222234,Actual
2020-02-29,NRP-S,202001,0,0.0,-84726.32,-565.3000000000001,33934.185211,0.0,0.0,4002870.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Actual
2020-02-29,NRP-S,202001,1,5763893.41,-226248.64,-83415.72000000002,86735.503292,0.0,4.91,5544549.94,0.0,-0.03925274530709963,-0.01447211356394601,0.1893981918221584,0.0,8.518547535041943e-07,0.0,0.0380547408492066,Actual
2020-03-31,NON PRIME,201912,3,129557207.63,-7319328.56,-4810198.390000001,4714386.386239,0.0,54407.26,120714565.18,0.0,-0.05649495457561213,-0.03712798753533926,0.4284446908734227,0.0,0.0004199477666683021,0.0,0.06825280207685183,Actual
2020-03-31,NON PRIME,202001,0,0.0,-241631.42,-3592.12,197179.540477,0.0,0.0,7814581.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Actual
2020-03-31,NON PRIME,202001,1,6760054.78,-348605.49,-299973.48,290081.765474,0.0,169.34,6403968.16,0.0,-0.05156844157999559,-0.04437441555762067,0.5052442565485704,0.0,2.505009286330073e-05,0.0,0.05267510864756633,Actual
2020-03-31,NON PRIME,202001,2,10382324.35,-539598.4,-491846.08,447433.943071,0.0,0.0,9802510.29,0.0,-0.05197279354887425,-0.04737340728523859,0.5074175751247809,0.0,0.0,0.0,0.05584626721857332,Actual
2020-03-31,NRP-M,202001,0,0.0,0.0,0.0,1322.165187,0.0,0.0,208122.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Actual
2020-03-31,NRP-S,201912,3,40840506.45,-2572607.93,-753913.62,656995.3968239999,0.0,7926.849999999999,37790167.28,0.0,-0.06299157756894073,-0.01845994786874148,0.1894097707156411,0.0,0.0001940928428423051,0.0,0.07468906326454239,Actual
2020-03-31,NRP-S,202001,0,0.0,-65612.95,-671.43,29749.976508,0.0,0.0,2759016.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Actual
2020-03-31,NRP-S,202001,1,4002870.11,-192949.49,-66695.66,62392.496315,0.0,35.29,3806222.2,0.0,-0.04820278567570108,-0.01666195958579331,0.1835236486301672,0.0,8.81617415260072e-06,0.0,0.04912672772187458,Actual
2020-03-31,NRP-S,202001,2,5544549.94,-257542.48,-101521.73,87788.746306,0.0,0.0,5273575.91,0.0,-0.04644966368541718,-0.01831018407239741,0.1864248138374774,0.0,0.0,0.0,0.04887214164040882,Actual
2020-04-30,NON PRIME,201912,4,120714565.18,-5062390.27,-3312208.21,4163470.565434,0.0,26125.89,115916794.86,0.0,-0.04193686372851001,-0.02743834768456563,0.4196308744564512,0.0,0.0002164269900740076,0.0,0.03974475087447752,Actual
2020-04-30,NON PRIME,202001,1,7814581.620000001,-336044.08,-335904.35,309930.116054,0.0,338.25,7454085.27,0.0,-0.04300218442148666,-0.0429843037457455,0.4825359303100263,0.0,4.328446696804735e-05,0.0,0.04613124125255492,Actual
2020-04-30,NON PRIME,202001,2,6403968.16,-269751.69,-248742.22,262818.430039,0.0,109.48,6146640.86,0.0,-0.04212258450704102,-0.03884188893281443,0.499319195887627,0.0,1.709565026944169e-05,0.0,0.04018247648501735,Actual
2020-04-30,NON PRIME,202001,3,9802510.29,-404493.52,-357814.64,407139.453654,0.0,0.0,9448812.82,0.0,-0.04126427905030029,-0.036502347808298,0.5053328048541126,0.0,0.0,0.0,0.03608233600742273,Actual
