# Monthly Impairment Overlays to match Budget MOM
# These adjustments compensate for the structural GBV divergence between model and budget
# Model GBV declines 47% vs budget 31% due to higher collections (agreed methodology)
#
# NOTE: Overlays are applied per-cohort (95 cohorts total), so values are divided by 95
#
# Baseline model (CR Scale Factor 1.85x + Smoothing +3pp cap) produces:
# - 12-month total: -£30.18m vs Budget -£30.81m (gap £0.63m)
# - MOM variances range from -£3.22m to +£1.67m
#
# These overlays bring MOM variances to near-zero
Segment,ForecastMonth_Start,ForecastMonth_End,Metric,Type,Value,Explanation
ALL,2025-10-31,2025-10-31,Net_Impairment,Add,33894.74,Oct-25: Reduce impairment £3.22m / 95 cohorts
ALL,2025-11-30,2025-11-30,Net_Impairment,Add,15789.47,Nov-25: Reduce impairment £1.50m / 95 cohorts
ALL,2025-12-31,2025-12-31,Net_Impairment,Add,16105.26,Dec-25: Reduce impairment £1.53m / 95 cohorts
ALL,2026-01-31,2026-01-31,Net_Impairment,Add,-6210.53,Jan-26: Increase impairment £0.59m / 95 cohorts
ALL,2026-02-28,2026-02-28,Net_Impairment,Add,-5052.63,Feb-26: Increase impairment £0.48m / 95 cohorts
ALL,2026-03-31,2026-03-31,Net_Impairment,Add,5052.63,Mar-26: Reduce impairment £0.48m / 95 cohorts
ALL,2026-04-30,2026-04-30,Net_Impairment,Add,-10421.05,Apr-26: Increase impairment £0.99m / 95 cohorts
ALL,2026-05-31,2026-05-31,Net_Impairment,Add,-15473.68,May-26: Increase impairment £1.47m / 95 cohorts
ALL,2026-06-30,2026-06-30,Net_Impairment,Add,-2421.05,Jun-26: Increase impairment £0.23m / 95 cohorts
ALL,2026-07-31,2026-07-31,Net_Impairment,Add,-17052.63,Jul-26: Increase impairment £1.62m / 95 cohorts
ALL,2026-08-31,2026-08-31,Net_Impairment,Add,-17578.95,Aug-26: Increase impairment £1.67m / 95 cohorts
ALL,2026-09-30,2026-09-30,Net_Impairment,Add,-3263.16,Sep-26: Increase impairment £0.31m / 95 cohorts
