Segment,Cohort,Metric,MOB_Start,MOB_End,Approach,Param1,Param2,Explanation
NON PRIME,201912,Coll_Principal,,,Manual,0.0,,"PQ rate: 0 / 387,942"
NON PRIME,201912,Coll_Interest,,,Manual,0.0,,"PQ rate: 0 / 387,942"
NRP-S,201912,Coll_Principal,,,Manual,0.0,,"PQ rate: 0 / 60,918"
NRP-S,201912,Coll_Interest,,,Manual,-0.00405072,,"PQ rate: -247 / 60,918"
NON PRIME,202001,Coll_Principal,,,Manual,0.0,,"PQ rate: 0 / 98,749"
NON PRIME,202001,Coll_Interest,,,Manual,0.0,,"PQ rate: 0 / 98,749"
NRP-S,202001,Coll_Principal,,,Manual,0.0,,"PQ rate: 0 / 4,572"
NRP-S,202001,Coll_Interest,,,Manual,0.0,,"PQ rate: 0 / 4,572"
NON PRIME,202101,Coll_Principal,,,Manual,0.0,,"PQ rate: 0 / 832,149"
NON PRIME,202101,Coll_Interest,,,Manual,0.0,,"PQ rate: 0 / 832,149"
NRP-M,202101,Coll_Principal,,,Manual,-0.07313923,,"PQ rate: -222,020 / 3,035,584"
NRP-M,202101,Coll_Interest,,,Manual,0.0,,"PQ rate: 0 / 3,035,584"
NRP-S,202101,Coll_Principal,,,Manual,-0.07403968,,"PQ rate: -165,641 / 2,237,191"
NRP-S,202101,Coll_Interest,,,Manual,0.0,,"PQ rate: 0 / 2,237,191"
PRIME,202101,Coll_Principal,,,Manual,-0.06860578,,"PQ rate: -236,122 / 3,441,726"
PRIME,202101,Coll_Interest,,,Manual,0.0,,"PQ rate: 0 / 3,441,726"
NON PRIME,202201,Coll_Principal,,,Manual,-0.09473938,,"PQ rate: -123,276 / 1,301,210"
NON PRIME,202201,Coll_Interest,,,Manual,-0.01348689,,"PQ rate: -17,549 / 1,301,210"
NRP-M,202201,Coll_Principal,,,Manual,-0.07147397,,"PQ rate: -13,899 / 194,457"
NRP-M,202201,Coll_Interest,,,Manual,-0.01216545,,"PQ rate: -2,366 / 194,457"
NRP-S,202201,Coll_Principal,,,Manual,-0.002,,"PQ rate: -940 / 469,899"
NRP-S,202201,Coll_Interest,,,Manual,-0.01083094,,"PQ rate: -5,089 / 469,899"
PRIME,202201,Coll_Principal,,,Manual,-0.11001051,,"PQ rate: -12,643 / 114,921"
PRIME,202201,Coll_Interest,,,Manual,-0.00928906,,"PQ rate: -1,068 / 114,921"
NON PRIME,202301,Coll_Principal,,,Manual,-0.07630898,,"PQ rate: -552,776 / 7,243,912"
NON PRIME,202301,Coll_Interest,,,Manual,0.0,,"PQ rate: 0 / 7,243,912"
NRP-L,202301,Coll_Principal,,,Manual,-0.03717244,,"PQ rate: -43,145 / 1,160,678"
NRP-L,202301,Coll_Interest,,,Manual,0.0,,"PQ rate: 0 / 1,160,678"
NRP-M,202301,Coll_Principal,,,Manual,-0.03867519,,"PQ rate: -462,242 / 11,951,897"
NRP-M,202301,Coll_Interest,,,Manual,0.0,,"PQ rate: 0 / 11,951,897"
NRP-S,202301,Coll_Principal,,,Manual,-0.06188272,,"PQ rate: -301,685 / 4,875,102"
NRP-S,202301,Coll_Interest,,,Manual,-0.03,,"PQ rate: -146,253 / 4,875,102"
NON PRIME,202404,Coll_Principal,,,Manual,-0.08987041,,"PQ rate: -129,379 / 1,439,613"
NON PRIME,202404,Coll_Interest,,,Manual,-0.02211266,,"PQ rate: -31,834 / 1,439,613"
NRP-L,202404,Coll_Principal,,,Manual,-0.06801012,,"PQ rate: -21,248 / 312,423"
NRP-L,202404,Coll_Interest,,,Manual,-0.01459368,,"PQ rate: -4,559 / 312,423"
NRP-M,202404,Coll_Principal,,,Manual,-0.04596731,,"PQ rate: -137,009 / 2,980,565"
NRP-M,202404,Coll_Interest,,,Manual,-0.01445667,,"PQ rate: -43,089 / 2,980,565"
NRP-S,202404,Coll_Principal,,,Manual,-0.04771414,,"PQ rate: -54,178 / 1,135,465"
NRP-S,202404,Coll_Interest,,,Manual,-0.01622287,,"PQ rate: -18,421 / 1,135,465"
NON PRIME,202405,Coll_Principal,,,Manual,-0.05924056,,"PQ rate: -103,641 / 1,749,500"
NON PRIME,202405,Coll_Interest,,,Manual,-0.0218258,,"PQ rate: -38,184 / 1,749,500"
NRP-L,202405,Coll_Principal,,,Manual,-0.0318562,,"PQ rate: -15,106 / 474,180"
NRP-L,202405,Coll_Interest,,,Manual,-0.01239736,,"PQ rate: -5,879 / 474,180"
NRP-M,202405,Coll_Principal,,,Manual,-0.02610157,,"PQ rate: -71,102 / 2,724,042"
NRP-M,202405,Coll_Interest,,,Manual,-0.01475937,,"PQ rate: -40,205 / 2,724,042"
NRP-S,202405,Coll_Principal,,,Manual,-0.05108941,,"PQ rate: -51,415 / 1,006,382"
NRP-S,202405,Coll_Interest,,,Manual,-0.01688184,,"PQ rate: -16,990 / 1,006,382"
PRIME,202405,Coll_Principal,,,Manual,-0.0161469,,"PQ rate: -78 / 4,824"
PRIME,202405,Coll_Interest,,,Manual,-0.01003387,,"PQ rate: -48 / 4,824"
NON PRIME,202406,Coll_Principal,,,Manual,-0.06474409,,"PQ rate: -151,408 / 2,338,556"
NON PRIME,202406,Coll_Interest,,,Manual,-0.02359599,,"PQ rate: -55,181 / 2,338,556"
NRP-L,202406,Coll_Principal,,,Manual,0.0,,"PQ rate: 0 / 263,353"
NRP-L,202406,Coll_Interest,,,Manual,-0.01546428,,"PQ rate: -4,073 / 263,353"
NRP-M,202406,Coll_Principal,,,Manual,-0.03047927,,"PQ rate: -78,026 / 2,559,982"
NRP-M,202406,Coll_Interest,,,Manual,-0.01390815,,"PQ rate: -35,605 / 2,559,982"
NRP-S,202406,Coll_Principal,,,Manual,-0.05366364,,"PQ rate: -64,752 / 1,206,636"
NRP-S,202406,Coll_Interest,,,Manual,-0.01739667,,"PQ rate: -20,991 / 1,206,636"
NON PRIME,202407,Coll_Principal,,,Manual,-0.06057598,,"PQ rate: -152,835 / 2,523,024"
NON PRIME,202407,Coll_Interest,,,Manual,-0.02417747,,"PQ rate: -61,000 / 2,523,024"
NRP-L,202407,Coll_Principal,,,Manual,-0.03878822,,"PQ rate: -18,297 / 471,704"
NRP-L,202407,Coll_Interest,,,Manual,-0.01521558,,"PQ rate: -7,177 / 471,704"
NRP-M,202407,Coll_Principal,,,Manual,-0.0267574,,"PQ rate: -116,381 / 4,349,482"
NRP-M,202407,Coll_Interest,,,Manual,-0.01467802,,"PQ rate: -63,842 / 4,349,482"
NRP-S,202407,Coll_Principal,,,Manual,-0.05833191,,"PQ rate: -69,238 / 1,186,959"
NRP-S,202407,Coll_Interest,,,Manual,-0.01740329,,"PQ rate: -20,657 / 1,186,959"
PRIME,202407,Coll_Principal,,,Manual,-0.04885738,,"PQ rate: -150 / 3,074"
PRIME,202407,Coll_Interest,,,Manual,-0.01036925,,"PQ rate: -32 / 3,074"
NON PRIME,202408,Coll_Principal,,,Manual,-0.06510046,,"PQ rate: -172,039 / 2,642,669"
NON PRIME,202408,Coll_Interest,,,Manual,-0.02371763,,"PQ rate: -62,678 / 2,642,669"
NRP-L,202408,Coll_Principal,,,Manual,-0.02943244,,"PQ rate: -16,786 / 570,320"
NRP-L,202408,Coll_Interest,,,Manual,-0.01562286,,"PQ rate: -8,910 / 570,320"
NRP-M,202408,Coll_Principal,,,Manual,-0.02797036,,"PQ rate: -83,446 / 2,983,356"
NRP-M,202408,Coll_Interest,,,Manual,-0.0154386,,"PQ rate: -46,059 / 2,983,356"
NRP-S,202408,Coll_Principal,,,Manual,-0.04701412,,"PQ rate: -61,972 / 1,318,157"
NRP-S,202408,Coll_Interest,,,Manual,-0.01792179,,"PQ rate: -23,624 / 1,318,157"
NON PRIME,202409,Coll_Principal,,,Manual,-0.0661109,,"PQ rate: -170,621 / 2,580,823"
NON PRIME,202409,Coll_Interest,,,Manual,-0.02483924,,"PQ rate: -64,106 / 2,580,823"
NRP-L,202409,Coll_Principal,,,Manual,-0.02299573,,"PQ rate: -13,892 / 604,094"
NRP-L,202409,Coll_Interest,,,Manual,-0.01536771,,"PQ rate: -9,284 / 604,094"
NRP-M,202409,Coll_Principal,,,Manual,-0.03237895,,"PQ rate: -98,376 / 3,038,267"
NRP-M,202409,Coll_Interest,,,Manual,-0.01568863,,"PQ rate: -47,666 / 3,038,267"
NRP-S,202409,Coll_Principal,,,Manual,-0.05666179,,"PQ rate: -68,170 / 1,203,095"
NRP-S,202409,Coll_Interest,,,Manual,-0.01835726,,"PQ rate: -22,086 / 1,203,095"
PRIME,202409,Coll_Principal,,,Manual,-0.04017914,,"PQ rate: -408 / 10,149"
PRIME,202409,Coll_Interest,,,Manual,-0.01039294,,"PQ rate: -105 / 10,149"
NON PRIME,202410,Coll_Principal,,,Manual,-0.06150338,,"PQ rate: -208,288 / 3,386,607"
NON PRIME,202410,Coll_Interest,,,Manual,-0.025905,,"PQ rate: -87,730 / 3,386,607"
NRP-L,202410,Coll_Principal,,,Manual,-0.0233118,,"PQ rate: -10,801 / 463,335"
NRP-L,202410,Coll_Interest,,,Manual,-0.01674134,,"PQ rate: -7,757 / 463,335"
NRP-M,202410,Coll_Principal,,,Manual,-0.03125736,,"PQ rate: -92,170 / 2,948,746"
NRP-M,202410,Coll_Interest,,,Manual,-0.01558642,,"PQ rate: -45,960 / 2,948,746"
NRP-S,202410,Coll_Principal,,,Manual,-0.05077712,,"PQ rate: -58,341 / 1,148,959"
NRP-S,202410,Coll_Interest,,,Manual,-0.01839306,,"PQ rate: -21,133 / 1,148,959"
NON PRIME,202411,Coll_Principal,,,Manual,-0.06359134,,"PQ rate: -230,754 / 3,628,698"
NON PRIME,202411,Coll_Interest,,,Manual,-0.02697284,,"PQ rate: -97,876 / 3,628,698"
NRP-L,202411,Coll_Principal,,,Manual,-0.02943586,,"PQ rate: -17,283 / 587,146"
NRP-L,202411,Coll_Interest,,,Manual,-0.01503928,,"PQ rate: -8,830 / 587,146"
NRP-M,202411,Coll_Principal,,,Manual,-0.03458307,,"PQ rate: -113,638 / 3,285,946"
NRP-M,202411,Coll_Interest,,,Manual,-0.0167138,,"PQ rate: -54,921 / 3,285,946"
NRP-S,202411,Coll_Principal,,,Manual,-0.0506604,,"PQ rate: -65,326 / 1,289,491"
NRP-S,202411,Coll_Interest,,,Manual,-0.0190533,,"PQ rate: -24,569 / 1,289,491"
NON PRIME,202412,Coll_Principal,,,Manual,-0.06239628,,"PQ rate: -245,219 / 3,930,024"
NON PRIME,202412,Coll_Interest,,,Manual,-0.02818568,,"PQ rate: -110,770 / 3,930,024"
NRP-L,202412,Coll_Principal,,,Manual,-0.00841034,,"PQ rate: -445 / 52,967"
NRP-L,202412,Coll_Interest,,,Manual,-0.01073037,,"PQ rate: -568 / 52,967"
NRP-M,202412,Coll_Principal,,,Manual,-0.02571683,,"PQ rate: -69,858 / 2,716,445"
NRP-M,202412,Coll_Interest,,,Manual,-0.01593653,,"PQ rate: -43,291 / 2,716,445"
NRP-S,202412,Coll_Principal,,,Manual,-0.05242041,,"PQ rate: -72,144 / 1,376,253"
NRP-S,202412,Coll_Interest,,,Manual,-0.01918997,,"PQ rate: -26,410 / 1,376,253"
NON PRIME,202501,Coll_Principal,,,Manual,-0.05964829,,"PQ rate: -260,279 / 4,363,554"
NON PRIME,202501,Coll_Interest,,,Manual,-0.02821069,,"PQ rate: -123,099 / 4,363,554"
NRP-L,202501,Coll_Principal,,,Manual,-0.01470112,,"PQ rate: -888 / 60,436"
NRP-L,202501,Coll_Interest,,,Manual,-0.01764064,,"PQ rate: -1,066 / 60,436"
NRP-M,202501,Coll_Principal,,,Manual,-0.02834919,,"PQ rate: -140,139 / 4,943,313"
NRP-M,202501,Coll_Interest,,,Manual,-0.01680674,,"PQ rate: -83,081 / 4,943,313"
NRP-S,202501,Coll_Principal,,,Manual,-0.04885233,,"PQ rate: -106,758 / 2,185,315"
NRP-S,202501,Coll_Interest,,,Manual,-0.01969069,,"PQ rate: -43,030 / 2,185,315"
NON PRIME,202502,Coll_Principal,,,Manual,-0.05923732,,"PQ rate: -352,975 / 5,958,652"
NON PRIME,202502,Coll_Interest,,,Manual,-0.02879021,,"PQ rate: -171,551 / 5,958,652"
NRP-L,202502,Coll_Principal,,,Manual,-0.0126703,,"PQ rate: -1,614 / 127,421"
NRP-L,202502,Coll_Interest,,,Manual,-0.01801492,,"PQ rate: -2,295 / 127,421"
NRP-M,202502,Coll_Principal,,,Manual,-0.03270931,,"PQ rate: -168,496 / 5,151,310"
NRP-M,202502,Coll_Interest,,,Manual,-0.01665482,,"PQ rate: -85,794 / 5,151,310"
NRP-S,202502,Coll_Principal,,,Manual,-0.05081245,,"PQ rate: -121,329 / 2,387,772"
NRP-S,202502,Coll_Interest,,,Manual,-0.01803444,,"PQ rate: -43,062 / 2,387,772"
NON PRIME,202503,Coll_Principal,,,Manual,-0.0544267,,"PQ rate: -410,277 / 7,538,149"
NON PRIME,202503,Coll_Interest,,,Manual,-0.03496369,,"PQ rate: -263,562 / 7,538,149"
NRP-L,202503,Coll_Principal,,,Manual,-0.00983233,,"PQ rate: -825 / 83,861"
NRP-L,202503,Coll_Interest,,,Manual,-0.01210275,,"PQ rate: -1,015 / 83,861"
NRP-M,202503,Coll_Principal,,,Manual,-0.02330032,,"PQ rate: -143,583 / 6,162,267"
NRP-M,202503,Coll_Interest,,,Manual,-0.01735327,,"PQ rate: -106,935 / 6,162,267"
NRP-S,202503,Coll_Principal,,,Manual,-0.04832999,,"PQ rate: -127,953 / 2,647,482"
NRP-S,202503,Coll_Interest,,,Manual,-0.02215077,,"PQ rate: -58,644 / 2,647,482"
NON PRIME,202504,Coll_Principal,,,Manual,-0.05366704,,"PQ rate: -496,228 / 9,246,422"
NON PRIME,202504,Coll_Interest,,,Manual,-0.04038959,,"PQ rate: -373,459 / 9,246,422"
NRP-L,202504,Coll_Principal,,,Manual,-0.01268972,,"PQ rate: -796 / 62,697"
NRP-L,202504,Coll_Interest,,,Manual,-0.0167224,,"PQ rate: -1,048 / 62,697"
NRP-M,202504,Coll_Principal,,,Manual,-0.02020158,,"PQ rate: -157,491 / 7,795,953"
NRP-M,202504,Coll_Interest,,,Manual,-0.01769145,,"PQ rate: -137,922 / 7,795,953"
NRP-S,202504,Coll_Principal,,,Manual,-0.05868187,,"PQ rate: -139,302 / 2,373,847"
NRP-S,202504,Coll_Interest,,,Manual,-0.02310806,,"PQ rate: -54,855 / 2,373,847"
PRIME,202504,Coll_Principal,,,Manual,0.0,,"PQ rate: 0 / 4,662"
PRIME,202504,Coll_Interest,,,Manual,-0.01043339,,"PQ rate: -49 / 4,662"
NON PRIME,202505,Coll_Principal,,,Manual,-0.04675916,,"PQ rate: -465,406 / 9,953,254"
NON PRIME,202505,Coll_Interest,,,Manual,-0.03436613,,"PQ rate: -342,055 / 9,953,254"
NRP-L,202505,Coll_Principal,,,Manual,-0.0119223,,"PQ rate: -196 / 16,426"
NRP-L,202505,Coll_Interest,,,Manual,-0.01572462,,"PQ rate: -258 / 16,426"
NRP-M,202505,Coll_Principal,,,Manual,-0.0275,,"PQ rate: -199,896 / 7,268,939"
NRP-M,202505,Coll_Interest,,,Manual,-0.0166,,"PQ rate: -120,664 / 7,268,939"
NRP-S,202505,Coll_Principal,,,Manual,-0.0495,,"PQ rate: -120,633 / 2,437,021"
NRP-S,202505,Coll_Interest,,,Manual,-0.0216,,"PQ rate: -52,640 / 2,437,021"
NON PRIME,202506,Coll_Principal,,,Manual,-0.04527198,,"PQ rate: -496,803 / 10,973,737"
NON PRIME,202506,Coll_Interest,,,Manual,-0.03472419,,"PQ rate: -381,054 / 10,973,737"
NRP-L,202506,Coll_Principal,,,Manual,-0.01306338,,"PQ rate: -392 / 29,971"
NRP-L,202506,Coll_Interest,,,Manual,-0.01674187,,"PQ rate: -502 / 29,971"
NRP-M,202506,Coll_Principal,,,Manual,-0.0201,,"PQ rate: -142,410 / 7,085,059"
NRP-M,202506,Coll_Interest,,,Manual,-0.0163,,"PQ rate: -115,486 / 7,085,059"
