Cohort,Segment,GBV,Coll_P,Coll_I,Coll_P_Rate,Coll_I_Rate
201912,NON PRIME,387941.62,0.0,0.0,0.0,0.0
201912,NRP-S,60918.41999999999,0.0,-246.76357354376577,0.0,-0.004050721826727709
202001,NON PRIME,98748.52000000002,0.0,0.0,0.0,0.0
202001,NRP-S,4571.870000000001,0.0,0.0,0.0,0.0
202101,NON PRIME,832148.8999999999,0.0,0.0,0.0,0.0
202101,NRP-M,3035583.9,-222020.26904639698,0.0,-0.07313923,0.0
202101,NRP-S,2237190.62,-165640.8776038016,0.0,-0.07403968,0.0
202101,PRIME,3441726.03,-236122.29539272736,0.0,-0.068605779,0.0
202201,NON PRIME,1301210.18,-123275.83919683749,-17549.275104020766,-0.094739375,-0.013486887340537688
202201,NRP-M,194456.57,-13898.58246711319,-2365.65235366973,-0.071473967,-0.012165453466908987
202201,NRP-S,469898.68,-939.79736,-5089.444933642184,-0.002,-0.010830941116161858
202201,PRIME,114921.47,-12642.56998433558,-1067.5120541728331,-0.11001051399999999,-0.009289056728675965
202301,NON PRIME,7243912.09,-552775.528309744,0.0,-0.076308978,0.0
202301,NRP-L,1160678.27,-43145.2433508788,0.0,-0.03717244,0.0
202301,NRP-M,11951897.25,-462241.9328599192,0.0,-0.038675193,0.0
202301,NRP-S,4875102.47,-301684.62549783074,-146253.0741,-0.061882725,-0.030000000000000002
202404,NON PRIME,1439613.0899999996,-129378.62007927995,-31833.672638049462,-0.089870411,-0.022112658504688555
202404,NRP-L,312423.2,-21247.939947630402,-4559.404292546433,-0.068010122,-0.014593680279013956
202404,NRP-M,2980564.9000000004,-137008.55967511373,-43089.04092071106,-0.045967313,-0.014456669244380839
202404,NRP-S,1135465.04,-54177.73353804198,-18420.50649949546,-0.04771413617282482,-0.016222874197426157
202405,NON PRIME,1749500.3,-103641.37019033995,-38184.25216305268,-0.05924055582633506,-0.021825804867282778
202405,NRP-L,474179.94,-15105.570660393161,-5878.580864053477,-0.03185619927404175,-0.012397363043349065
202405,NRP-M,2724042.47,-71101.77521455745,-40205.16141396781,-0.026101566329308164,-0.01475937392927938
202405,NRP-S,1006382.0399999999,-51415.466456865965,-16989.57876263227,-0.051089411787263186,-0.016881838195991924
202405,PRIME,4824.29,-77.89731383227992,-48.40629921510861,-0.01614689702158865,-0.01003387010629722
202406,NON PRIME,2338555.8699999996,-151407.6693787524,-55180.541923644676,-0.064744089,-0.023595990427906555
202406,NRP-L,263352.54000000004,0.0,-4072.557312329393,0.0,-0.015464279601515871
202406,NRP-M,2559981.8499999996,-78026.39080115873,-35604.60191870672,-0.030479274999999997,-0.013908146231078446
202406,NRP-S,1206635.83,-64752.46958558537,-20991.44353136363,-0.053663639,-0.017396668497208168
202407,NON PRIME,2523024.380000001,-152834.67962457056,-61000.34617108629,-0.06057598207773581,-0.02417746996605965
202407,NRP-L,471704.42,-18296.573494988468,-7177.25850702386,-0.038788217195396366,-0.015215584596438295
202407,NRP-M,4349482.11,-116380.84149040401,-63841.77680675184,-0.02675740204168905,-0.01467801802425435
202407,NRP-S,1186959.49,-69237.61904453118,-20657.003582867575,-0.05833191412836775,-0.017403292830884712
202407,PRIME,3074.04,-150.1895359984124,-31.87550391941904,-0.048857378563197745,-0.010369254765526486
202408,NON PRIME,2642668.7499999995,-172038.96154711477,-62677.84056281659,-0.06510046389549004,-0.023717630354851173
202408,NRP-L,570319.56,-16785.895600694614,-8910.02117057132,-0.029432438895651083,-0.01562285742149773
202408,NRP-M,2983355.65,-83445.52901699422,-46058.83476174959,-0.027970359154797456,-0.015438600074969134
202408,NRP-S,1318156.9200000002,-61971.992099286035,-23623.734058273316,-0.04701412340139748,-0.017921791935267703
202409,NON PRIME,2580823.24,-170620.54089921172,-64105.6775411805,-0.06611089758290138,-0.024839236003307414
202409,NRP-L,604094.49,-13891.59425977122,-9283.551095967901,-0.022995730783393207,-0.015367713577337714
202409,NRP-M,3038266.7999999993,-98375.88272118839,-47666.251910218525,-0.03237894799797977,-0.01568863271330172
202409,NRP-S,1203094.8800000004,-68169.51362972344,-22085.521981710237,-0.05666179348192673,-0.01835725706164607
202409,PRIME,10148.720000000001,-407.7668649948957,-105.47500815487558,-0.040179142295274244,-0.010392937055596723
202410,NON PRIME,3386607.26,-208287.77893688317,-87730.05523166448,-0.06150337578172061,-0.025904998275963206
202410,NRP-L,463335.09,-10801.174309829035,-7756.8498634155285,-0.023311798616049206,-0.016741339110352138
202410,NRP-M,2948745.809999999,-92170.01921169314,-45960.394271961064,-0.03125736335058774,-0.015586421222235185
202410,NRP-S,1148959.1199999996,-58340.836962077694,-21132.86923907623,-0.05077712161079997,-0.018393055828719335
202411,NON PRIME,3628698.04,-230753.76135566182,-97876.28092295343,-0.06359133739209169,-0.026972837046246326
202411,NRP-L,587145.5900000001,-17283.137505275536,-8830.248015524761,-0.029435863607994626,-0.015039281850903044
202411,NRP-M,3285945.9,-113638.08797835445,-54920.6431633386,-0.034583067231373,-0.016713800176484526
202411,NRP-S,1289490.97,-65326.127279004846,-24569.057356672824,-0.05066039917984447,-0.01905329926945733
202412,NON PRIME,3930024.390000001,-245218.903221199,-110770.40467034021,-0.062396280248326635,-0.02818567868235041
202412,NRP-L,52967.3,-445.47275378714386,-568.3589069449876,-0.008410335316075084,-0.010730373399153581
202412,NRP-M,2716445.1100000003,-69858.34673663545,-43290.70919396909,-0.025716826185615594,-0.01593653007550338
202412,NRP-S,1376252.91,-72143.73578618531,-26410.25314374076,-0.052420405626016305,-0.019189970790863403
202501,NON PRIME,4363554.399999999,-260278.57757776356,-123098.87646564613,-0.059648294422034384,-0.028210689080820476
202501,NRP-L,60436.42,-888.4829744294581,-1066.1368347436041,-0.014701118537952085,-0.017640635145887266
202501,NRP-M,4943312.740000001,-140138.9238313102,-83080.95107490376,-0.028349192374041498,-0.016806735775107714
202501,NRP-S,2185314.64,-106757.72159563153,-43030.34377624888,-0.04885233441516299,-0.019690685720317548
202502,NON PRIME,5958651.75,-352974.5897736341,-171550.84292121234,-0.0592373249155959,-0.028790211295904707
