Metric,Segment,MOB_Start,MOB_End,Approach,Manual_Rate,Cohort_Filter
Coll_Principal,NON PRIME,0,0,Manual,-0.5011318393694056,202509
Coll_Interest,NON PRIME,0,0,Manual,-0.10610992855376782,202509
InterestRevenue,NON PRIME,0,0,Manual,0.5018767427666397,202509
Coll_Principal,NON PRIME,1,1,Manual,-0.04910723770222086,202509
Coll_Interest,NON PRIME,1,1,Manual,-0.0327943245609125,202509
InterestRevenue,NON PRIME,1,1,Manual,0.03793481052888366,202509
Coll_Principal,NRP-M,0,0,Manual,-0.4507285403690831,202509
Coll_Interest,NRP-M,0,0,Manual,-0.041405467089351757,202509
InterestRevenue,NRP-M,0,0,Manual,0.27421335006470055,202509
Coll_Principal,NRP-M,1,1,Manual,-0.019871631348556438,202509
Coll_Interest,NRP-M,1,1,Manual,-0.012155873374912973,202509
InterestRevenue,NRP-M,1,1,Manual,0.015746399498764375,202509
Coll_Principal,NRP-S,0,0,Manual,-0.37495809381133516,202509
Coll_Interest,NRP-S,0,0,Manual,-0.06885390018052819,202509
InterestRevenue,NRP-S,0,0,Manual,0.3461254297619762,202509
Coll_Principal,NRP-S,1,1,Manual,-0.03990328956197333,202509
Coll_Interest,NRP-S,1,1,Manual,-0.018299788525686714,202509
InterestRevenue,NRP-S,1,1,Manual,0.020511354908716188,202509
Coll_Principal,NRP-L,0,0,Manual,-0.020081477837271388,202509
Coll_Interest,NRP-L,0,0,Manual,-0.013797881920824168,202509
InterestRevenue,NRP-L,0,0,Manual,0.021543369518698643,202509
Coll_Principal,NRP-L,1,1,Manual,-0.015061112730713666,202509
Coll_Interest,NRP-L,1,1,Manual,-0.015137830746605017,202509
InterestRevenue,NRP-L,1,1,Manual,0.015316359034429152,202509
Coll_Principal,PRIME,1,1,Manual,-0.007621973024209819,202509
Coll_Interest,PRIME,1,1,Manual,-0.003922922702156261,202509
InterestRevenue,PRIME,1,1,Manual,0.011240609551599922,202509
