Segment,Cohort,Metric,MOB_Start,MOB_End,Approach,Param1,Param2
ALL,ALL,Coll_Principal,0,999,CohortAvg,6.0,
ALL,ALL,Coll_Interest,0,999,CohortTrend,,
ALL,ALL,InterestRevenue,0,999,CohortTrend,,
ALL,201912,Coll_Principal,0,999,Manual,0.0,
NON PRIME,202001,Coll_Principal,0,999,Manual,-0.05,
NRP-S,202001,Coll_Principal,16,40,DonorCohort,201901.0,
PRIME,202101,Coll_Principal,0,999,CohortTrend,,
NON PRIME,202101,Coll_Principal,0,999,CohortTrend,,
NRP-M,202101,Coll_Principal,0,999,CohortTrend,,
NRP-S,202101,Coll_Principal,0,999,CohortTrend,,
NON PRIME,202201,Coll_Principal,4,15,DonorCohort,202101.0,
NRP-M,202201,Coll_Principal,4,15,DonorCohort,202101.0,
NRP-S,202201,Coll_Principal,4,15,DonorCohort,202101.0,
PRIME,202201,Coll_Principal,4,15,DonorCohort,202101.0,
NON PRIME,202301,Coll_Principal,4,15,DonorCohort,202101.0,
NRP-M,202301,Coll_Principal,4,15,DonorCohort,202101.0,
NRP-S,202301,Coll_Principal,4,15,DonorCohort,202101.0,
NON PRIME,202404,Coll_Principal,4,15,DonorCohort,202001.0,
NRP-M,202404,Coll_Principal,4,15,DonorCohort,202101.0,
NRP-S,202404,Coll_Principal,4,15,DonorCohort,202101.0,
NON PRIME,202405,Coll_Principal,4,15,DonorCohort,202001.0,
NRP-M,202405,Coll_Principal,4,15,DonorCohort,202001.0,
NRP-S,202405,Coll_Principal,4,15,DonorCohort,202101.0,
ALL,202406,Coll_Principal,0,999,CohortAvg,,
ALL,202407,Coll_Principal,0,999,CohortTrend,,
ALL,202408,Coll_Principal,0,999,CohortTrend,,
ALL,202409,Coll_Principal,0,999,CohortTrend,,
ALL,202410,Coll_Principal,0,999,CohortAvg,,
ALL,202411,Coll_Principal,0,999,CohortTrend,,
ALL,202412,Coll_Principal,0,999,CohortAvg,,
ALL,202501,Coll_Principal,0,999,CohortAvg,,
ALL,202502,Coll_Principal,0,999,CohortTrend,,
ALL,202503,Coll_Principal,0,999,CohortAvg,,
ALL,202504,Coll_Principal,0,999,DonorCohort,202404.0,
ALL,202505,Coll_Principal,0,999,DonorCohort,202404.0,
ALL,202506,Coll_Principal,0,999,DonorCohort,202404.0,
ALL,202507,Coll_Principal,0,999,DonorCohort,202405.0,
ALL,202508,Coll_Principal,0,999,DonorCohort,202405.0,
ALL,202509,Coll_Principal,0,999,DonorCohort,202405.0,
NON PRIME,202504,Coll_Interest,0,999,Manual,-0.03742677557553246,
NRP-L,202505,Coll_Interest,0,999,Manual,-0.016747353377495895,
NRP-M,202506,Coll_Interest,0,999,Manual,-0.01690997979499749,
NRP-S,202507,Coll_Interest,0,999,Manual,-0.02202320398252319,
PRIME,202508,Coll_Interest,0,999,Manual,-0.01043027255887801,
NON PRIME,202505,Coll_Interest,0,999,Manual,-0.036760417134370976,
NRP-L,202505,Coll_Interest,0,999,Manual,-0.01674186689769977,
NRP-M,202505,Coll_Interest,0,999,Manual,-0.01660934803152385,
NRP-S,202505,Coll_Interest,0,999,Manual,-0.021550159320035612,
NON PRIME,202506,Coll_Interest,0,999,Manual,-0.038274234823300286,
NRP-L,202507,Coll_Interest,0,999,Manual,-0.01693793498695881,
NRP-M,202508,Coll_Interest,0,999,Manual,-0.01629097300174935,
NON PRIME,202507,Coll_Interest,0,999,Manual,-0.04104707966967822,
NRP-L,202508,Coll_Interest,0,999,Manual,-0.018507991661115823,
NRP-S,202510,Coll_Interest,0,999,Manual,-0.023879431694085556,
PRIME,202511,Coll_Interest,0,999,Manual,-0.011552634299750158,
NON PRIME,202508,Coll_Interest,0,999,Manual,-0.0327943245609125,
NRP-L,202508,Coll_Interest,0,999,Manual,-0.015137830746605017,
NRP-M,202508,Coll_Interest,0,999,Manual,-0.01215587337491297,
NRP-S,202508,Coll_Interest,0,999,Manual,-0.01829978852568671,
PRIME,202508,Coll_Interest,0,999,Manual,-0.003922922702156261,
ALL,202509,Coll_Interest,0,999,DonorCohort,202405.0,
PRIME,202507,Coll_Interest,0,999,Manual,-0.011552634299750158,
NRP-S,202506,Coll_Interest,0,999,Manual,-0.022653513151231076,
NRP-M,202507,Coll_Interest,0,999,Manual,-0.01717578022392807,
NRP-L,202506,Coll_Interest,0,999,Manual,-0.01693793498695881,
NON PRIME,202507,InterestRevenue,0,999,Manual,0.4534,
NON PRIME,202508,InterestRevenue,0,999,Manual,0.4552,
NON PRIME,202509,InterestRevenue,0,999,Manual,0.4552,
NRP-L,202507,InterestRevenue,0,999,Manual,0.2022,
NRP-L,202509,InterestRevenue,0,999,Manual,0.1838,
NRP-L,202508,InterestRevenue,0,999,Manual,0.1838,
NRP-M,202507,InterestRevenue,0,999,Manual,0.1867,
NRP-M,202508,InterestRevenue,0,999,Manual,0.189,
NRP-M,202509,InterestRevenue,0,999,Manual,0.189,
NRP-S,202507,InterestRevenue,0,999,Manual,0.2548,
NRP-S,202508,InterestRevenue,0,999,Manual,0.2461,
NRP-S,202509,InterestRevenue,0,999,Manual,0.2461,
PRIME,202507,InterestRevenue,0,999,Manual,0.1356,
PRIME,202508,InterestRevenue,0,999,Manual,0.1349,
PRIME,202509,InterestRevenue,0,999,Manual,0.1349,
ALL,202505,InterestRevenue,0,999,CohortAvg,,
ALL,202506,InterestRevenue,0,999,CohortAvg,,
NRP-L,202408,Coll_Principal,0,999,CohortAvg,,
NRP-L,202411,Coll_Principal,0,999,CohortAvg,,
