Segment,Cohort,Metric,MOB_Start,MOB_End,Approach,Param1,Param2,Explanation
ALL,202509,Coll_Interest,0,999,DonorCohort,202405.0,,Original budget rate
ALL,ALL,Coll_Interest,0,999,CohortTrend,,,Original budget rate
NON PRIME,202505,Coll_Interest,0,999,Manual,-0.036760417134370976,,Original budget rate
NON PRIME,202508,Coll_Interest,0,999,Manual,-0.0327943245609125,,Original budget rate
NON PRIME,202504,Coll_Interest,0,999,Manual,-0.03742677557553246,,Original budget rate
NON PRIME,202506,Coll_Interest,0,999,Manual,-0.038274234823300286,,Original budget rate
NON PRIME,202507,Coll_Interest,0,999,Manual,-0.04104707966967822,,Original budget rate
NRP-L,202505,Coll_Interest,0,999,Manual,-0.01674186689769977,,Original budget rate
NRP-L,202508,Coll_Interest,0,999,Manual,-0.015137830746605017,,Original budget rate
NRP-L,202505,Coll_Interest,0,999,Manual,-0.016747353377495895,,Original budget rate
NRP-L,202506,Coll_Interest,0,999,Manual,-0.01693793498695881,,Original budget rate
NRP-L,202507,Coll_Interest,0,999,Manual,-0.01693793498695881,,Original budget rate
NRP-L,202508,Coll_Interest,0,999,Manual,-0.018507991661115823,,Original budget rate
NRP-M,202505,Coll_Interest,0,999,Manual,-0.01660934803152385,,Original budget rate
NRP-M,202508,Coll_Interest,0,999,Manual,-0.01215587337491297,,Original budget rate
NRP-M,202506,Coll_Interest,0,999,Manual,-0.01690997979499749,,Original budget rate
NRP-M,202507,Coll_Interest,0,999,Manual,-0.01717578022392807,,Original budget rate
NRP-M,202508,Coll_Interest,0,999,Manual,-0.01629097300174935,,Original budget rate
NRP-S,202505,Coll_Interest,0,999,Manual,-0.021550159320035612,,Original budget rate
NRP-S,202508,Coll_Interest,0,999,Manual,-0.01829978852568671,,Original budget rate
NRP-S,202506,Coll_Interest,0,999,Manual,-0.022653513151231076,,Original budget rate
NRP-S,202507,Coll_Interest,0,999,Manual,-0.02202320398252319,,Original budget rate
NRP-S,202510,Coll_Interest,0,999,Manual,-0.023879431694085556,,Original budget rate
PRIME,202508,Coll_Interest,0,999,Manual,-0.003922922702156261,,Original budget rate
PRIME,202507,Coll_Interest,0,999,Manual,-0.011552634299750158,,Original budget rate
PRIME,202508,Coll_Interest,0,999,Manual,-0.01043027255887801,,Original budget rate
PRIME,202511,Coll_Interest,0,999,Manual,-0.011552634299750158,,Original budget rate
ALL,201912,Coll_Principal,0,999,Manual,0.0,,Original budget rate
ALL,202406,Coll_Principal,0,999,CohortAvg,,,Original budget rate
ALL,202407,Coll_Principal,0,999,CohortTrend,,,Original budget rate
ALL,202408,Coll_Principal,0,999,CohortTrend,,,Original budget rate
ALL,202409,Coll_Principal,0,999,CohortTrend,,,Original budget rate
ALL,202410,Coll_Principal,0,999,CohortAvg,,,Original budget rate
ALL,202411,Coll_Principal,0,999,CohortTrend,,,Original budget rate
ALL,202412,Coll_Principal,0,999,CohortAvg,,,Original budget rate
ALL,202501,Coll_Principal,0,999,CohortAvg,,,Original budget rate
ALL,202502,Coll_Principal,0,999,CohortTrend,,,Original budget rate
ALL,202503,Coll_Principal,0,999,CohortAvg,,,Original budget rate
ALL,202504,Coll_Principal,0,999,DonorCohort,202404.0,,Original budget rate
ALL,202505,Coll_Principal,0,999,DonorCohort,202404.0,,Original budget rate
ALL,202506,Coll_Principal,0,999,DonorCohort,202404.0,,Original budget rate
ALL,202507,Coll_Principal,0,999,DonorCohort,202405.0,,Original budget rate
ALL,202508,Coll_Principal,0,999,DonorCohort,202405.0,,Original budget rate
ALL,202509,Coll_Principal,0,999,DonorCohort,202405.0,,Original budget rate
ALL,ALL,Coll_Principal,0,999,CohortAvg,6.0,,Original budget rate
NON PRIME,202001,Coll_Principal,0,999,Manual,-0.05,,Original budget rate
NON PRIME,202101,Coll_Principal,0,999,CohortTrend,,,Original budget rate
NON PRIME,202201,Coll_Principal,4,15,DonorCohort,202101.0,,Original budget rate
NON PRIME,202301,Coll_Principal,4,15,DonorCohort,202101.0,,Original budget rate
NON PRIME,202404,Coll_Principal,4,15,DonorCohort,202001.0,,Original budget rate
NON PRIME,202405,Coll_Principal,4,15,DonorCohort,202001.0,,Original budget rate
NRP-L,202408,Coll_Principal,0,999,CohortAvg,,,Original budget rate
NRP-L,202411,Coll_Principal,0,999,CohortAvg,,,Original budget rate
NRP-M,202101,Coll_Principal,0,999,CohortTrend,,,Original budget rate
NRP-M,202201,Coll_Principal,4,15,DonorCohort,202101.0,,Original budget rate
NRP-M,202301,Coll_Principal,4,15,DonorCohort,202101.0,,Original budget rate
NRP-M,202404,Coll_Principal,4,15,DonorCohort,202101.0,,Original budget rate
NRP-M,202405,Coll_Principal,4,15,DonorCohort,202001.0,,Original budget rate
NRP-S,202001,Coll_Principal,16,40,DonorCohort,201901.0,,Original budget rate
NRP-S,202101,Coll_Principal,0,999,CohortTrend,,,Original budget rate
NRP-S,202201,Coll_Principal,4,15,DonorCohort,202101.0,,Original budget rate
NRP-S,202301,Coll_Principal,4,15,DonorCohort,202101.0,,Original budget rate
NRP-S,202404,Coll_Principal,4,15,DonorCohort,202101.0,,Original budget rate
NRP-S,202405,Coll_Principal,4,15,DonorCohort,202101.0,,Original budget rate
PRIME,202101,Coll_Principal,0,999,CohortTrend,,,Original budget rate
PRIME,202201,Coll_Principal,4,15,DonorCohort,202101.0,,Original budget rate
NON PRIME,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.785,,DS coverage
NRP-L,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.785,,DS coverage
NRP-M,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.785,,DS coverage
NRP-S,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.785,,DS coverage
PRIME,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.785,,DS coverage
NON PRIME,ALL,Debt_Sale_Proceeds_Rate,0,999,Manual,0.24,,Proceeds 24p
NRP-L,ALL,Debt_Sale_Proceeds_Rate,0,999,Manual,0.24,,Proceeds 24p
NRP-M,ALL,Debt_Sale_Proceeds_Rate,0,999,Manual,0.24,,Proceeds 24p
NRP-S,ALL,Debt_Sale_Proceeds_Rate,0,999,Manual,0.24,,Proceeds 24p
PRIME,ALL,Debt_Sale_Proceeds_Rate,0,999,Manual,0.24,,Proceeds 24p
ALL,202505,InterestRevenue,0,999,CohortAvg,,,Original budget rate
ALL,202506,InterestRevenue,0,999,CohortAvg,,,Original budget rate
ALL,ALL,InterestRevenue,0,999,CohortTrend,,,Original budget rate
NON PRIME,202507,InterestRevenue,0,999,Manual,0.4534,,Original budget rate
NON PRIME,202508,InterestRevenue,0,999,Manual,0.4552,,Original budget rate
NON PRIME,202509,InterestRevenue,0,999,Manual,0.4552,,Original budget rate
NRP-L,202507,InterestRevenue,0,999,Manual,0.2022,,Original budget rate
NRP-L,202508,InterestRevenue,0,999,Manual,0.1838,,Original budget rate
NRP-L,202509,InterestRevenue,0,999,Manual,0.1838,,Original budget rate
NRP-M,202507,InterestRevenue,0,999,Manual,0.1867,,Original budget rate
NRP-M,202508,InterestRevenue,0,999,Manual,0.189,,Original budget rate
NRP-M,202509,InterestRevenue,0,999,Manual,0.189,,Original budget rate
NRP-S,202507,InterestRevenue,0,999,Manual,0.2548,,Original budget rate
NRP-S,202508,InterestRevenue,0,999,Manual,0.2461,,Original budget rate
NRP-S,202509,InterestRevenue,0,999,Manual,0.2461,,Original budget rate
PRIME,202507,InterestRevenue,0,999,Manual,0.1356,,Original budget rate
PRIME,202508,InterestRevenue,0,999,Manual,0.1349,,Original budget rate
PRIME,202509,InterestRevenue,0,999,Manual,0.1349,,Original budget rate
NON PRIME,201912,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,average looks sensible for mature cohorts
NON PRIME,202001,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,average looks sensible for mature cohorts
NON PRIME,202101,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,average looks sensible for mature cohorts
