Segment,Cohort,Metric,MOB_Start,MOB_End,Approach,Param1,Param2,Explanation
NON PRIME,201912,Coll_Principal,70,70,Manual,0.0,,PQ rate for MOB 70
NON PRIME,201912,Coll_Interest,70,70,Manual,0.0,,PQ rate for MOB 70
NON PRIME,201912,Coll_Principal,71,71,Manual,0.0,,PQ rate for MOB 71
NON PRIME,201912,Coll_Interest,71,71,Manual,0.0,,PQ rate for MOB 71
NON PRIME,201912,Coll_Principal,72,72,Manual,0.0,,PQ rate for MOB 72
NON PRIME,201912,Coll_Interest,72,72,Manual,0.0,,PQ rate for MOB 72
NON PRIME,201912,Coll_Principal,73,73,Manual,0.0,,PQ rate for MOB 73
NON PRIME,201912,Coll_Interest,73,73,Manual,0.0,,PQ rate for MOB 73
NON PRIME,201912,Coll_Principal,74,74,Manual,0.0,,PQ rate for MOB 74
NON PRIME,201912,Coll_Interest,74,74,Manual,0.0,,PQ rate for MOB 74
NON PRIME,201912,Coll_Principal,75,75,Manual,0.0,,PQ rate for MOB 75
NON PRIME,201912,Coll_Interest,75,75,Manual,0.0,,PQ rate for MOB 75
NON PRIME,201912,Coll_Principal,76,76,Manual,0.0,,PQ rate for MOB 76
NON PRIME,201912,Coll_Interest,76,76,Manual,0.0,,PQ rate for MOB 76
NON PRIME,201912,Coll_Principal,77,77,Manual,0.0,,PQ rate for MOB 77
NON PRIME,201912,Coll_Interest,77,77,Manual,0.0,,PQ rate for MOB 77
NON PRIME,201912,Coll_Principal,78,78,Manual,0.0,,PQ rate for MOB 78
NON PRIME,201912,Coll_Interest,78,78,Manual,0.0,,PQ rate for MOB 78
NON PRIME,201912,Coll_Principal,79,79,Manual,0.0,,PQ rate for MOB 79
NON PRIME,201912,Coll_Interest,79,79,Manual,0.0,,PQ rate for MOB 79
NON PRIME,201912,Coll_Principal,80,80,Manual,0.0,,PQ rate for MOB 80
NON PRIME,201912,Coll_Interest,80,80,Manual,0.0,,PQ rate for MOB 80
NON PRIME,201912,Coll_Principal,81,81,Manual,0.0,,PQ rate for MOB 81
NON PRIME,201912,Coll_Interest,81,81,Manual,0.0,,PQ rate for MOB 81
NON PRIME,201912,Coll_Principal,82,82,Manual,0.0,,PQ rate for MOB 82
NON PRIME,201912,Coll_Interest,82,82,Manual,0.0,,PQ rate for MOB 82
NON PRIME,201912,Coll_Principal,83,83,Manual,0.0,,PQ rate for MOB 83
NON PRIME,201912,Coll_Interest,83,83,Manual,0.0,,PQ rate for MOB 83
NON PRIME,201912,Coll_Principal,84,84,Manual,0.0,,PQ rate for MOB 84
NON PRIME,201912,Coll_Interest,84,84,Manual,0.0,,PQ rate for MOB 84
