Segment,Cohort,Metric,MOB_Start,MOB_End,Approach,Param1,Param2,Explanation
NON PRIME,201912,Coll_Principal,,,Manual,0.0,,PQ rate (all MOBs)
NON PRIME,201912,Coll_Interest,,,Manual,0.0,,PQ rate (all MOBs)
NRP-S,201912,Coll_Principal,,,Manual,0.0,,PQ rate (all MOBs)
NRP-S,201912,Coll_Interest,,,Manual,-0.0040507218267277,,PQ rate (all MOBs)
NON PRIME,202001,Coll_Principal,,,Manual,0.0,,PQ rate (all MOBs)
NON PRIME,202001,Coll_Interest,,,Manual,0.0,,PQ rate (all MOBs)
NRP-S,202001,Coll_Principal,,,Manual,0.0,,PQ rate (all MOBs)
NRP-S,202001,Coll_Interest,,,Manual,0.0,,PQ rate (all MOBs)
NON PRIME,202101,Coll_Principal,,,Manual,0.0,,PQ rate (all MOBs)
NON PRIME,202101,Coll_Interest,,,Manual,0.0,,PQ rate (all MOBs)
NRP-M,202101,Coll_Principal,,,Manual,-0.07313923,,PQ rate (all MOBs)
NRP-M,202101,Coll_Interest,,,Manual,0.0,,PQ rate (all MOBs)
NRP-S,202101,Coll_Principal,,,Manual,-0.07403968,,PQ rate (all MOBs)
NRP-S,202101,Coll_Interest,,,Manual,0.0,,PQ rate (all MOBs)
PRIME,202101,Coll_Principal,,,Manual,-0.068605779,,PQ rate (all MOBs)
PRIME,202101,Coll_Interest,,,Manual,0.0,,PQ rate (all MOBs)
NON PRIME,202201,Coll_Principal,,,Manual,-0.094739375,,PQ rate (all MOBs)
NON PRIME,202201,Coll_Interest,,,Manual,-0.0134868873405376,,PQ rate (all MOBs)
NRP-M,202201,Coll_Principal,,,Manual,-0.071473967,,PQ rate (all MOBs)
NRP-M,202201,Coll_Interest,,,Manual,-0.0121654534669089,,PQ rate (all MOBs)
NRP-S,202201,Coll_Principal,,,Manual,-0.002,,PQ rate (all MOBs)
NRP-S,202201,Coll_Interest,,,Manual,-0.0108309411161618,,PQ rate (all MOBs)
PRIME,202201,Coll_Principal,,,Manual,-0.1100105139999999,,PQ rate (all MOBs)
PRIME,202201,Coll_Interest,,,Manual,-0.0092890567286759,,PQ rate (all MOBs)
NON PRIME,202301,Coll_Principal,,,Manual,-0.076308978,,PQ rate (all MOBs)
NON PRIME,202301,Coll_Interest,,,Manual,0.0,,PQ rate (all MOBs)
NRP-L,202301,Coll_Principal,,,Manual,-0.03717244,,PQ rate (all MOBs)
NRP-L,202301,Coll_Interest,,,Manual,0.0,,PQ rate (all MOBs)
NRP-M,202301,Coll_Principal,,,Manual,-0.038675193,,PQ rate (all MOBs)
NRP-M,202301,Coll_Interest,,,Manual,0.0,,PQ rate (all MOBs)
NRP-S,202301,Coll_Principal,,,Manual,-0.061882725,,PQ rate (all MOBs)
NRP-S,202301,Coll_Interest,,,Manual,-0.03,,PQ rate (all MOBs)
NON PRIME,202404,Coll_Principal,,,Manual,-0.089870411,,PQ rate (all MOBs)
NON PRIME,202404,Coll_Interest,,,Manual,-0.0221126585046885,,PQ rate (all MOBs)
NRP-L,202404,Coll_Principal,,,Manual,-0.068010122,,PQ rate (all MOBs)
NRP-L,202404,Coll_Interest,,,Manual,-0.0145936802790139,,PQ rate (all MOBs)
NRP-M,202404,Coll_Principal,,,Manual,-0.045967313,,PQ rate (all MOBs)
NRP-M,202404,Coll_Interest,,,Manual,-0.0144566692443808,,PQ rate (all MOBs)
NRP-S,202404,Coll_Principal,,,Manual,-0.0477141361728248,,PQ rate (all MOBs)
NRP-S,202404,Coll_Interest,,,Manual,-0.0162228741974261,,PQ rate (all MOBs)
NON PRIME,202405,Coll_Principal,,,Manual,-0.059240555826335,,PQ rate (all MOBs)
NON PRIME,202405,Coll_Interest,,,Manual,-0.0218258048672827,,PQ rate (all MOBs)
NRP-L,202405,Coll_Principal,,,Manual,-0.0318561992740417,,PQ rate (all MOBs)
NRP-L,202405,Coll_Interest,,,Manual,-0.012397363043349,,PQ rate (all MOBs)
NRP-M,202405,Coll_Principal,,,Manual,-0.0261015663293081,,PQ rate (all MOBs)
NRP-M,202405,Coll_Interest,,,Manual,-0.0147593739292793,,PQ rate (all MOBs)
NRP-S,202405,Coll_Principal,,,Manual,-0.0510894117872631,,PQ rate (all MOBs)
NRP-S,202405,Coll_Interest,,,Manual,-0.0168818381959919,,PQ rate (all MOBs)
PRIME,202405,Coll_Principal,,,Manual,-0.0161468970215886,,PQ rate (all MOBs)
PRIME,202405,Coll_Interest,,,Manual,-0.0100338701062972,,PQ rate (all MOBs)
NON PRIME,202406,Coll_Principal,,,Manual,-0.064744089,,PQ rate (all MOBs)
NON PRIME,202406,Coll_Interest,,,Manual,-0.0235959904279065,,PQ rate (all MOBs)
NRP-L,202406,Coll_Principal,,,Manual,0.0,,PQ rate (all MOBs)
NRP-L,202406,Coll_Interest,,,Manual,-0.0154642796015158,,PQ rate (all MOBs)
NRP-M,202406,Coll_Principal,,,Manual,-0.0304792749999999,,PQ rate (all MOBs)
NRP-M,202406,Coll_Interest,,,Manual,-0.0139081462310784,,PQ rate (all MOBs)
NRP-S,202406,Coll_Principal,,,Manual,-0.053663639,,PQ rate (all MOBs)
NRP-S,202406,Coll_Interest,,,Manual,-0.0173966684972081,,PQ rate (all MOBs)
NON PRIME,202407,Coll_Principal,,,Manual,-0.0605759820777358,,PQ rate (all MOBs)
NON PRIME,202407,Coll_Interest,,,Manual,-0.0241774699660596,,PQ rate (all MOBs)
NRP-L,202407,Coll_Principal,,,Manual,-0.0387882171953963,,PQ rate (all MOBs)
NRP-L,202407,Coll_Interest,,,Manual,-0.0152155845964382,,PQ rate (all MOBs)
NRP-M,202407,Coll_Principal,,,Manual,-0.026757402041689,,PQ rate (all MOBs)
