ForecastMonth,Segment,Cohort,MOB,OpeningGBV,Coll_Principal,Coll_Interest,Coll_Rate,Coll_P_Approach,Coll_I_Approach,ScenB_Revenue,ScenB_Rev_Rate,ScenA_Revenue,ScenA_Rev_Rate
2025-10-31,NON PRIME,201912,70,387941.62,14372.36,4506.83,0.0486650285164041,CohortTrend,CohortTrend,0.0,0.0,0.0,0.0
2025-10-31,NON PRIME,202001,69,98748.52,3145.46,916.14,0.0411307430227815,CohortTrend,CohortTrend,0.0,0.0,822.9043333333301,0.0083333333333333
2025-10-31,NON PRIME,202101,57,832148.9,-3370.79,4161.57,0.0009502866614376342,CohortTrend,CohortTrend,0.0,0.0,6934.574166666639,0.0083333333333333
2025-10-31,NON PRIME,202201,37,1301210.18,-143033.95,-17654.2,-0.12349131022015215,CohortTrend,CohortTrend,13218.09,0.010158305094108625,13267.117852058916,0.01019598375111
2025-10-31,NON PRIME,202201,37,1301210.18,-143033.95,-17654.2,-0.12349131022015215,CohortTrend,CohortTrend,13218.09,0.010158305094108625,10843.418166666623,0.0083333333333333
2025-10-31,NON PRIME,202301,28,7243912.09,-608350.13,-122513.84,-0.10089354494085254,CohortTrend,CohortTrend,110220.66,0.015215626395046438,111906.02525718986,0.0154482859353957
2025-10-31,NON PRIME,202301,28,7243912.09,-608350.13,-122513.84,-0.10089354494085254,CohortTrend,CohortTrend,110220.66,0.015215626395046438,98026.94907933704,0.013532321742924
2025-10-31,NON PRIME,202301,28,7243912.09,-608350.13,-122513.84,-0.10089354494085254,CohortTrend,CohortTrend,110220.66,0.015215626395046438,97988.55832960081,0.0135270220168562
2025-10-31,NON PRIME,202301,28,7243912.09,-608350.13,-122513.84,-0.10089354494085254,CohortTrend,CohortTrend,110220.66,0.015215626395046438,100117.74610079378,0.0138209499034373
2025-10-31,NON PRIME,202404,18,1439613.09,-104798.75,-31539.42,-0.09470473069955204,CohortTrend,CohortTrend,29034.27,0.02016810641809321,29336.79287827217,0.0203782482127001
2025-10-31,NON PRIME,202404,18,1439613.09,-104798.75,-31539.42,-0.09470473069955204,CohortTrend,CohortTrend,29034.27,0.02016810641809321,26005.501386502772,0.0180642295955386
2025-10-31,NON PRIME,202404,18,1439613.09,-104798.75,-31539.42,-0.09470473069955204,CohortTrend,CohortTrend,29034.27,0.02016810641809321,26462.30639246502,0.018381540551611
2025-10-31,NON PRIME,202404,18,1439613.09,-104798.75,-31539.42,-0.09470473069955204,CohortTrend,CohortTrend,29034.27,0.02016810641809321,27039.419168809352,0.0187824210245333
2025-10-31,NON PRIME,202405,17,1749500.3,-108449.63,-37855.9,-0.08362703910368006,CohortTrend,CohortTrend,35322.63,0.020190125146020265,35767.55791250493,0.0204444422858944
2025-10-31,NON PRIME,202405,17,1749500.3,-108449.63,-37855.9,-0.08362703910368006,CohortTrend,CohortTrend,35322.63,0.020190125146020265,33042.63008877565,0.0188868959260971
2025-10-31,NON PRIME,202405,17,1749500.3,-108449.63,-37855.9,-0.08362703910368006,CohortTrend,CohortTrend,35322.63,0.020190125146020265,33823.87501584971,0.0193334491087825
2025-10-31,NON PRIME,202405,17,1749500.3,-108449.63,-37855.9,-0.08362703910368006,CohortTrend,CohortTrend,35322.63,0.020190125146020265,34550.68428481734,0.0197488873164625
2025-10-31,NON PRIME,202406,16,2338555.87,-139655.88,-54128.67,-0.08286505038684408,CohortTrend,CohortTrend,51178.85,0.021884809619707738,51572.93669268569,0.0220533267365067
2025-10-31,NON PRIME,202406,16,2338555.87,-139655.88,-54128.67,-0.08286505038684408,CohortTrend,CohortTrend,51178.85,0.021884809619707738,48159.84009797231,0.020593837725148
2025-10-31,NON PRIME,202406,16,2338555.87,-139655.88,-54128.67,-0.08286505038684408,CohortTrend,CohortTrend,51178.85,0.021884809619707738,49279.9176098316,0.0210727989192029
2025-10-31,NON PRIME,202406,16,2338555.87,-139655.88,-54128.67,-0.08286505038684408,CohortTrend,CohortTrend,51178.85,0.021884809619707738,50236.26817657624,0.0214817481254259
2025-10-31,NON PRIME,202407,15,2523024.38,-162986.39,-61334.06,-0.0889093469639798,CohortTrend,CohortTrend,56938.1,0.022567399844150536,57502.55351617671,0.0227911208357712
2025-10-31,NON PRIME,202407,15,2523024.38,-162986.39,-61334.06,-0.0889093469639798,CohortTrend,CohortTrend,56938.1,0.022567399844150536,54675.6637378189,0.0216706838710052
2025-10-31,NON PRIME,202407,15,2523024.38,-162986.39,-61334.06,-0.0889093469639798,CohortTrend,CohortTrend,56938.1,0.022567399844150536,55881.832862122435,0.0221487486625565
2025-10-31,NON PRIME,202407,15,2523024.38,-162986.39,-61334.06,-0.0889093469639798,CohortTrend,CohortTrend,56938.1,0.022567399844150536,56811.177914221684,0.0225170943113208
2025-10-31,NON PRIME,202408,14,2642668.75,-185633.05,-63183.36,-0.09415346134471071,CohortTrend,CohortTrend,57682.28,0.02182728349892509,58003.65741501149,0.0219488944329521
2025-10-31,NON PRIME,202408,14,2642668.75,-185633.05,-63183.36,-0.09415346134471071,CohortTrend,CohortTrend,57682.28,0.02182728349892509,53553.52639362913,0.0202649410349402
2025-10-31,NON PRIME,202408,14,2642668.75,-185633.05,-63183.36,-0.09415346134471071,CohortTrend,CohortTrend,57682.28,0.02182728349892509,55222.867879139245,0.0208966287882805
2025-10-31,NON PRIME,202408,14,2642668.75,-185633.05,-63183.36,-0.09415346134471071,CohortTrend,CohortTrend,57682.28,0.02182728349892509,56461.504766649065,0.0213653356163723
2025-10-31,NON PRIME,202409,13,2580823.24,-182520.83,-62813.21,-0.09506038081089194,CohortTrend,CohortTrend,58863.14,0.02280789287994787,59016.01860577472,0.0228671292520501
2025-10-31,NON PRIME,202409,13,2580823.24,-182520.83,-62813.21,-0.09506038081089194,CohortTrend,CohortTrend,58863.14,0.02280789287994787,56953.861649268896,0.0220680985689159
2025-10-31,NON PRIME,202409,13,2580823.24,-182520.83,-62813.21,-0.09506038081089194,CohortTrend,CohortTrend,58863.14,0.02280789287994787,58662.4009594926,0.0227301118690688
2025-10-31,NON PRIME,202409,13,2580823.24,-182520.83,-62813.21,-0.09506038081089194,CohortTrend,CohortTrend,58863.14,0.02280789287994787,59762.512071318146,0.0231563755103655
2025-10-31,NON PRIME,202410,12,3386607.26,-246168.04,-94915.45,-0.10071539561986294,DonorCohort:202404,DonorCohort:202404,89167.71,0.026329510083197546,78632.0939982851,0.0232185452759837
2025-10-31,NON PRIME,202410,12,3386607.26,-246168.04,-94915.45,-0.10071539561986294,DonorCohort:202404,DonorCohort:202404,89167.71,0.026329510083197546,73856.18264995546,0.0218083104947798
2025-10-31,NON PRIME,202410,12,3386607.26,-246168.04,-94915.45,-0.10071539561986294,DonorCohort:202404,DonorCohort:202404,89167.71,0.026329510083197546,76380.67298649561,0.022553743945643
2025-10-31,NON PRIME,202410,12,3386607.26,-246168.04,-94915.45,-0.10071539561986294,DonorCohort:202404,DonorCohort:202404,89167.71,0.026329510083197546,77968.4100691152,0.0230225721742282
2025-10-31,NON PRIME,202411,11,3628698.04,-251880.36,-84878.59,-0.09280434643164741,DonorCohort:202404,DonorCohort:202404,89667.7,0.02471070863752554,89947.20087710352,0.0247877337506715
2025-10-31,NON PRIME,202411,11,3628698.04,-251880.36,-84878.59,-0.09280434643164741,DonorCohort:202404,DonorCohort:202404,89667.7,0.02471070863752554,87029.39018436726,0.0239836407507656
2025-10-31,NON PRIME,202411,11,3628698.04,-251880.36,-84878.59,-0.09280434643164741,DonorCohort:202404,DonorCohort:202404,89667.7,0.02471070863752554,89582.89711131228,0.0246873385781398
2025-10-31,NON PRIME,202411,11,3628698.04,-251880.36,-84878.59,-0.09280434643164741,DonorCohort:202404,DonorCohort:202404,89667.7,0.02471070863752554,91042.0326955917,0.0250894485272717
2025-10-31,NON PRIME,202412,10,3930024.39,-292231.31,-113762.89,-0.10330577108708477,DonorCohort:202404,DonorCohort:202404,107202.06,0.027277708574220832,97722.86814427984,0.0248657154375268
2025-10-31,NON PRIME,202412,10,3930024.39,-292231.31,-113762.89,-0.10330577108708477,DonorCohort:202404,DonorCohort:202404,107202.06,0.027277708574220832,97345.20920738217,0.0247696196123053
2025-10-31,NON PRIME,202412,10,3930024.39,-292231.31,-113762.89,-0.10330577108708477,DonorCohort:202404,DonorCohort:202404,107202.06,0.027277708574220832,100454.8254768493,0.0255608656608997
2025-10-31,NON PRIME,202412,10,3930024.39,-292231.31,-113762.89,-0.10330577108708477,DonorCohort:202404,DonorCohort:202404,107202.06,0.027277708574220832,102064.97008509179,0.0259705691254226
2025-10-31,NON PRIME,202501,9,4363554.4,-287417.26,-131847.65,-0.09608334664052773,DonorCohort:202404,DonorCohort:202404,122598.7,0.028096063154386248,112186.8319322796,0.0257099652366611
2025-10-31,NON PRIME,202501,9,4363554.4,-287417.26,-131847.65,-0.09608334664052773,DonorCohort:202404,DonorCohort:202404,122598.7,0.028096063154386248,114287.9179459613,0.0261914731591203
2025-10-31,NON PRIME,202501,9,4363554.4,-287417.26,-131847.65,-0.09608334664052773,DonorCohort:202404,DonorCohort:202404,122598.7,0.028096063154386248,117055.23151354615,0.0268256610971886
2025-10-31,NON PRIME,202501,9,4363554.4,-287417.26,-131847.65,-0.09608334664052773,DonorCohort:202404,DonorCohort:202404,122598.7,0.028096063154386248,118372.76802545099,0.0271276022192942
2025-10-31,NON PRIME,202502,8,5958651.75,-354251.6,-165645.15,-0.08725073587326193,DonorCohort:202404,DonorCohort:202404,160121.36,0.02687207890610489,162369.19386168997,0.0272493175761933
2025-10-31,NON PRIME,202502,8,5958651.75,-354251.6,-165645.15,-0.08725073587326193,DonorCohort:202404,DonorCohort:202404,160121.36,0.02687207890610489,164476.997201856,0.0276030558761646
2025-10-31,NON PRIME,202502,8,5958651.75,-354251.6,-165645.15,-0.08725073587326193,DonorCohort:202404,DonorCohort:202404,160121.36,0.02687207890610489,168417.36616410266,0.0282643412016993
2025-10-31,NON PRIME,202502,8,5958651.75,-354251.6,-165645.15,-0.08725073587326193,DonorCohort:202404,DonorCohort:202404,160121.36,0.02687207890610489,170189.47359050566,0.0285617419394422
2025-10-31,NON PRIME,202503,7,7538149.37,-426079.49,-217066.3,-0.08531879091698073,DonorCohort:202404,DonorCohort:202404,211559.62,0.028065193407012575,262050.09902116624,0.0347631873764749
2025-10-31,NON PRIME,202503,7,7538149.37,-426079.49,-217066.3,-0.08531879091698073,DonorCohort:202404,DonorCohort:202404,211559.62,0.028065193407012575,265028.2819733081,0.0351582688223261
2025-10-31,NON PRIME,202503,7,7538149.37,-426079.49,-217066.3,-0.08531879091698073,DonorCohort:202404,DonorCohort:202404,211559.62,0.028065193407012575,265887.9590481461,0.0352723123405216
