Cohort,Segment,Actual_Coll_Rate,Actual_Revenue_Rate,Actual_Principal_Rate,Actual_Interest_Rate,OpeningGBV
202001,NON PRIME,0.07268701473394137,0.0,0.07152590485399364,0.001161109879947717,7615.266666666667
202001,NRP-S,-0.3675471112496027,0.0,-0.3675471112496027,0.0,1126.235
202002,NON PRIME,0.039038372411639495,0.0,0.036677168302522344,0.002361204109117117,8067.683333333333
202002,NRP-S,-0.15282658285182488,0.0,-0.15051798256736462,-0.0023086002844602284,1841.4516666666666
202003,NON PRIME,-0.003910368689439767,0.0,-0.0037369388336195,-0.00017342985582025,23179.400000000005
202003,NRP-M,-0.99989889798807,0.0,-0.9949448994034982,-0.0049539985845718,65.94
202003,NRP-S,-0.06436616326461167,0.0,-0.06421365114167128,-0.00015251212294036667,1761.7833333333335
202006,NON PRIME,0.04872371297528858,0.0,0.04829420550764633,0.00042950746764223335,3282.83
202007,NON PRIME,0.052779201424468035,0.0,0.05143714586983886,0.0013420555546291666,7318.688333333333
202008,NON PRIME,0.07760549221871701,0.0,0.07716832964141326,0.00043716257730378334,6830.025000000001
202009,NON PRIME,0.04219822612539185,0.0,0.04264410920160553,-0.00044588307621371654,9976.103333333334
202009,NRP-S,-0.0361516304386304,0.0056000684064430005,-0.03365435283469135,-0.002497277603939,2474.5
202010,NON PRIME,0.012804903798840866,0.0,0.01268116715741135,0.00012373664142951667,22695.735
202010,NRP-S,,,,,0.0
202011,NON PRIME,0.07885817116752702,0.0,0.058098678510544254,0.02075949265698275,2504.766666666667
202012,NON PRIME,0.01715178926836595,0.0,0.017372256220140086,-0.00022046695177414997,12253.093333333332
202101,NON PRIME,-0.02828112833021237,0.0,-0.01179787957336275,-0.016483248756849568,12504.051666666666
202101,NRP-M,-0.18824718308828106,0.012128836990861284,-0.1741603851860185,-0.014086797902262483,6386.641666666666
202101,NRP-S,-0.09577205689124903,0.010704218600080017,-0.08579796726998896,-0.009974089621260066,11113.258333333333
202102,NON PRIME,0.014519053386652733,0.0,0.013898495278584118,0.0006205581080686,9502.226666666667
202102,NRP-M,-0.11506433177618625,0.009071800191439734,-0.10503651855505773,-0.010027813221128484,14686.675000000001
202102,NRP-S,-0.1269834094322048,0.011630861451921734,-0.11437607890124152,-0.012607330530963233,20086.311666666665
202103,NON PRIME,0.0294525026959597,0.0,0.028804208468618402,0.0006482942273412833,17371.829999999998
202103,NRP-M,-0.10123497356377276,0.008019274257138118,-0.09280804602865182,-0.008426927535120917,51601.04
202103,NRP-S,-0.09820585868149051,0.011370467163208017,-0.08554412555786323,-0.012661733123627216,35005.909999999996
202103,PRIME,-0.11501787702396803,0.011180173716789135,-0.1035885888938008,-0.01142928813016715,250.01666666666665
202104,NON PRIME,0.017211281082509782,0.0,0.01683638746211037,0.00037489362039941674,20476.005
202104,NRP-M,-0.07162265507415629,0.0087350654114962,-0.06292478174135899,-0.008697873332797283,75579.85166666667
202104,NRP-S,-0.11026773196950741,0.011148813686913102,-0.09785653326847156,-0.012411198701035799,35156.93666666667
202104,PRIME,-0.08880282963734158,0.006066226168579884,-0.08306647014704155,-0.005736359490299966,23320.671666666665
202105,NON PRIME,0.013295379378578151,0.0,0.011767905703791317,0.0015274736747868277,21193.995
202105,NRP-M,-0.12198166846850517,0.012607453611041666,-0.10901111667352985,-0.012970551794975284,122375.04666666668
