Cohort,Segment,CalendarMonth,OpeningGBV,Coll_Principal,Coll_Interest,InterestRevenue,ClosingGBV,Actual_Coll_Rate,Actual_Revenue_Rate,Actual_Principal_Rate,Actual_Interest_Rate
202001,NON PRIME,202001,0.0,-283830.17,-4706.21,265009.988444,10840421.469999999,-inf,inf,-inf,-inf
202001,NON PRIME,202002,10840421.47,-491840.17000000004,-418731.23,448287.30453400005,10382324.35,-0.08399778574291909,0.04135330953456001,-0.04537094534203567,-0.03862684040088341
202001,NON PRIME,202003,10382324.35,-539598.4,-491846.07999999996,447433.943071,9802510.29,-0.09934620083411284,0.04309573925717318,-0.05197279354887425,-0.04737340728523859
202001,NON PRIME,202004,9802510.29,-404493.52,-357814.64,407139.453654,9448812.82,-0.0777666268585983,0.04153420313869419,-0.04126427905030029,-0.036502347808297995
202001,NON PRIME,202005,9448812.82,-454194.27999999997,-285103.02,393967.619843,9104084.18,-0.07824234791011556,0.041694933252260154,-0.04806892555206739,-0.030173422358048152
202001,NON PRIME,202006,9104084.18,-511527.13,-351825.62,357154.072402,8588612.18,-0.09483136721172102,0.03923009336695303,-0.056186555383981526,-0.038644811827739496
202001,NON PRIME,202007,8588612.18,-461051.45999999996,-296469.13,339846.279507,7975402.050000001,-0.08820058166836449,0.03956940567166231,-0.05368171834253203,-0.03451886332583246
202001,NON PRIME,202008,7975402.05,-367680.62999999995,-227864.93,300930.146643,7522066.590000001,-0.07467279470882598,0.03773228543920241,-0.046101830063852385,-0.028570964644973603
202001,NON PRIME,202009,7522066.59,-478814.41,-295340.34,264493.423244,6757530.71,-0.10291782726693463,0.03516233472269753,-0.06365463589973351,-0.039263191367201127
202001,NON PRIME,202010,6757530.709999999,-355121.43,-178756.01,229404.124024,5880016.99,-0.07900481150754549,0.033947921788134945,-0.052551952072445715,-0.02645285943509978
202001,NON PRIME,202011,5880016.99,-418310.76,-212522.63,197167.998611,5354628.55,-0.10728428014287081,0.03353187566401913,-0.0711410801552803,-0.03614319998759051
202001,NON PRIME,202012,5354628.55,-333244.46,-149811.61,177795.655681,4964612.2299999995,-0.09021280663810005,0.03320410632050285,-0.062234841667962205,-0.027977964970137843
202001,NON PRIME,202101,4964612.23,-262459.97000000003,-107448.77,152679.86972,4672926.76,-0.07450909010873544,0.030753634452534064,-0.05286615708151692,-0.021642933027218522
202001,NON PRIME,202102,4672926.76,-202608.21999999997,-102583.29,131505.214145,4472566.51,-0.06531056994353576,0.028141937783120748,-0.043357884770271894,-0.021952685173263875
202001,NON PRIME,202103,4472566.510000001,-280242.42000000004,-151878.13999999998,130401.03557000001,4127010.02,-0.09661579297565326,0.029155751016433737,-0.06265807772191184,-0.0339577152537414
202001,NON PRIME,202104,4126740.61,-193877.51,-103935.15999999999,104954.347808,3546169.35,-0.07216655907045245,0.025432746500633586,-0.04698078418842032,-0.02518577488203214
202001,NON PRIME,202105,3546169.3499999996,-161022.68,-72518.24,96555.106449,3382206.78,-0.06585723831829972,0.027228002083149246,-0.045407498657671276,-0.02044973966062845
202001,NON PRIME,202106,3382206.7800000003,-237802.44000000003,-104278.32,82683.796956,3083114.05,-0.1011412909532397,0.024446700729516012,-0.07030984663805802,-0.0308314443151817
202001,NON PRIME,202107,3083114.05,-143478.6,-60494.47,73671.42733800001,2913714.35,-0.0661581332030192,0.023895135289594627,-0.04653690965470447,-0.01962122354831473
202001,NON PRIME,202108,2913724.19,-164134.6,-72088.04,58989.070177,2348880.89,-0.0810724092591619,0.02024524846224378,-0.0563315500359696,-0.024740859223192295
202001,NON PRIME,202109,2348880.89,-125751.45000000001,-52190.52,51389.469115,2204429.13,-0.0757560635609752,0.02187827800625514,-0.053536750430968005,-0.022219313130007197
202001,NON PRIME,202110,2079547.04,-122482.39,-34304.39,43971.514343,1940603.96,-0.07539467825647261,0.021144755803648472,-0.058898590723872254,-0.01649608753260037
202001,NON PRIME,202111,1940603.96,-150620.50999999998,-47223.38,35635.637213,1762463.53,-0.10194964767566485,0.018363168347342754,-0.07761527498892663,-0.024334372686738204
202001,NON PRIME,202112,1762463.53,-112128.59,-28192.37,29781.332031,1641365.1500000001,-0.07961637651588739,0.016897559310631523,-0.06362037460145345,-0.015996001914433938
202001,NON PRIME,202201,1315383.31,-95742.26,-21290.42,19366.60873,1044886.09,-0.08897230116140062,0.014723167446909447,-0.07278658568352976,-0.016185715477870854
202001,NON PRIME,202202,1014966.9199999999,-66255.08,-16539.590000000004,15438.874087,941007.37,-0.0815737620296039,0.015211209136747039,-0.06527806837290816,-0.016295693656695732
202001,NON PRIME,202203,941007.37,-58450.35,-14482.1,14976.416183000001,871782.14,-0.07750465333762475,0.015915301686744494,-0.06211465697659732,-0.015389996361027438
202001,NON PRIME,202204,872080.69,-35161.729999999996,-8866.98,11965.89472,699075.26,-0.05048696812676817,0.01372108665770366,-0.0403193539350126,-0.010167614191755582
202001,NON PRIME,202205,699075.26,-56795.990000000005,-13071.77,10560.766664,613911.2,-0.09994311628192937,0.015106766421686844,-0.08124445714185337,-0.018698659140075992
202001,NON PRIME,202206,613911.2,-42684.09,-9292.58,8779.834056,562635.06,-0.08466480168467362,0.0143014723562626,-0.0695281174215424,-0.015136684263131216
202001,NON PRIME,202207,562481.57,-28259.120000000003,-5547.16,6967.742754,418355.01999999996,-0.060102022542711936,0.012387504099023191,-0.05024008164391947,-0.00986194089879247
202001,NON PRIME,202208,409567.49,-32541.840000000004,-6711.32,5642.030021,374696.44,-0.09584051702931794,0.013775580725413532,-0.07945415784831947,-0.016386359180998473
202001,NON PRIME,202209,374696.68,-29139.070000000003,-4576.99,4482.736563,306041.77,-0.08998227579705272,0.011963640998900765,-0.07776708883569505,-0.012215186961357651
202001,NON PRIME,202210,204794.22,-21306.850000000002,-3414.1600000000003,3351.4786520000002,176763.16999999998,-0.12071146343876307,0.016365103722165597,-0.10404028980896043,-0.016671173629802638
202001,NON PRIME,202211,176763.17,-20360.940000000002,-2696.65,2382.587563,154913.62,-0.13044340628197607,0.013478981865962235,-0.11518768304505968,-0.015255723236916378
202001,NON PRIME,202212,154913.29,-16712.62,-1720.6200000000001,1498.905736,126713.42,-0.11899069472993568,0.00967577240145116,-0.10788370707251778,-0.011106987657417902
202001,NON PRIME,202301,126713.42,-18528.73,-1181.42,589.580782,110555.54999999999,-0.15554903340151344,0.004652867723087263,-0.14622547477607345,-0.009323558625439989
202001,NON PRIME,202302,110555.55,-5574.200000000001,-652.76,316.192584,77323.20999999999,-0.0563242641368977,0.0028600335668358574,-0.05041990203115086,-0.005904362105746839
202001,NON PRIME,202303,77323.21,-3034.84,-253.62,321.101596,67531.94,-0.04252875688942556,0.004152719422796854,-0.03924875855516086,-0.003279998334264705
202001,NON PRIME,202304,67531.94,-5394.2,-325.02,277.206029,50978.68,-0.08468911155225216,0.004104813648178921,-0.07987627780277007,-0.004812833749482097
202001,NON PRIME,202305,50978.68,-2706.67,-224.29999999999998,258.811043,43890.73,-0.057494034761198215,0.005076848655163295,-0.053094156223739024,-0.0043998785374591886
202001,NON PRIME,202306,43890.729999999996,-4032.64,-253.17000000000002,224.94266,37370.1,-0.09764727084739762,0.005125060804411319,-0.09187908243950374,-0.005768188407893877
202001,NON PRIME,202307,37370.1,-2986.38,-248.13,203.387061,34671.24,-0.08655342105051901,0.005442507807043599,-0.0799136207823902,-0.006639800268128798
202001,NON PRIME,202308,34671.24,-1453.34,-251.24,164.166776,32065.29,-0.04916409104491215,0.0047349554270340495,-0.04191773931362132,-0.007246351731290834
202001,NON PRIME,202309,31080.800000000003,-4527.79,-138.75,107.89472599999999,25790.72,-0.15014220998172503,0.0034714269259478515,-0.14567803917531078,-0.004464170806414249
202001,NON PRIME,202310,25790.72,-1520.07,-125.48,81.891463,19666.41,-0.06380395739242642,0.0031752298113429944,-0.05893864149585587,-0.004865315896570549
202001,NON PRIME,202311,19666.41,-972.3299999999999,-96.04,57.146227,18683.88,-0.05432460728724764,0.002905778278801266,-0.049441153723531646,-0.004883453563716001
202001,NON PRIME,202312,18683.88,-731.39,-86.34,34.942786999999996,15481.5,-0.043766605223326205,0.0018702104166800468,-0.039145509390983026,-0.004621095832343175
202001,NON PRIME,202401,15481.5,3.890000000000109,-79.6,6.789669,11589.990000000002,-0.004890353001970086,0.00043856661176242613,0.0002512676420243587,-0.005141620643994445
202001,NON PRIME,202402,11589.99,-61.58,106.22,0.0,11521.25,0.003851599526833069,0.0,-0.0053132056196769795,0.009164805146510049
202001,NON PRIME,202403,11521.25,-96.06,514.32,0.0,11425.19,0.03630335250081372,0.0,-0.008337636975154605,0.044640989475968326
202001,NON PRIME,202404,11425.19,-40.870000000000005,-16.95,0.0,11383.11,-0.005060747348621774,0.0,-0.00357718339913822,-0.0014835639494835532
202001,NON PRIME,202405,11383.11,-69.23,-1.33,0.0,11321.54,-0.006198657484641719,0.0,-0.006081817710625655,-0.00011683977401606416
202001,NON PRIME,202406,11321.54,1077.55,72.26,0.0,10330.66,0.10155950515565902,0.0,0.09517698122340246,0.0063825239322565655
202001,NON PRIME,202407,10330.66,1304.53,39.92,0.0,10281.619999999999,0.1301417334420066,0.0,0.1262775079230175,0.0038642255189891062
202001,NON PRIME,202408,10281.619999999999,789.04,19.31,0.0,10259.789999999999,0.07862087881092668,0.0,0.07674277010821252,0.0018781087027141638
202001,NON PRIME,202409,10259.79,-20.0,0.0,0.0,10239.79,-0.0019493576379243627,0.0,-0.0019493576379243627,0.0
202001,NON PRIME,202410,10239.79,93.76000000000002,1.54,0.0,10202.75,0.009306831487755123,0.0,0.00915643777850913,0.00015039370924599038
202001,NON PRIME,202411,10202.75,3271.96,84.38,0.0,10182.75,0.32896424983460343,0.0,0.3206939305579378,0.008270319276665604
202001,NON PRIME,202412,10182.75,197.57,11.68,0.0,10162.75,0.020549458643293807,0.0,0.019402420760600034,0.0011470378826937712
