,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09
Total Collections (P+I),16965144.33,17485232.0,17646392.039999995,18031590.589999996,16957864.820000004,18741555.670000006,18182277.569999985,17471048.339999974,19104884.89999998
Total Collections inc Contra,20743573.97,21461833.72,21736635.899999995,22035185.999999996,20794468.740000002,22910099.100000005,22977140.76999999,21842624.119999975,23265471.10999998
Closing GBV,,,,,,,,,
Average GBV,233595904.74818796,238464484.3649998,240680149.7299999,244521447.89500004,253124625.14499998,257405746.365,262907673.41500005,272294294.475,276270575.91500014
Closing NBV,,,,,,,,,
Average NBV,,,,,,,,,
Revenue,5528986.5,5137217.870000003,5688346.300000005,5841714.080000001,5956738.710000005,6097707.800000002,6373575.000000001,6547581.0399999935,6509025.200000001
Gross Impairment,-3146895.6699999985,-2645672.4700000007,-2250275.0299999984,-2325928.000000005,-2487383.0700000026,-2859702.4000000046,-3180000.000000006,-3047455.940000004,-2844178.5088599874
Net Impairment,,,,,,,,,
RAM (incl DS gain),,,,,,,,,
