calendarmonth,openinggbv,principalcollections,interestcollections,interestrevenue,total_coll,coll_rate,rev_rate
201601,0.0,0.0,0.0,1545.034825,0.0,,inf
201602,873995.1000000001,-115790.85,-15956.61,131586.968551,-131747.46000000002,-0.15074164603439996,0.15055801634471405
201603,6337818.84,-363990.45999999996,-229470.37,361871.114429,-593460.83,-0.09363802358225815,0.057097106049342365
201604,13013336.360000001,-554204.27,-442454.95,619862.2324290001,-996659.22,-0.07658752470761464,0.047632844897048374
201605,20459976.93,-849614.5,-775536.2699999999,918353.20685,-1625150.77,-0.07943072348322536,0.04488534908870984
201606,27545083.459999997,-1193369.32,-972183.4700000001,1159085.733199,-2165552.79,-0.07861848714834137,0.04207958690276555
201607,34008577.32,-1293518.48,-1102798.3499999999,1442795.670682,-2396316.83,-0.07046213099278215,0.0424244641904944
201608,40604824.15,-1762542.1400000001,-1512551.79,1696395.7094979999,-3275093.93,-0.0806577543077477,0.041778181410939565
201609,48286131.5,-2096652.3900000001,-1704688.49,1986971.923942,-3801340.88,-0.0787253143275725,0.041149950559655
201610,55798362.7,-2352741.95,-1982542.8499999999,2346351.684127,-4335284.8,-0.07769555575149519,0.04205054719512406
201611,63336157.370000005,-2722432.51,-2170576.83,2517338.292769,-4893009.34,-0.07725459742396114,0.03974567446621525
201612,68935156.87,-2540323.55,-2089391.7999999998,2770606.6738529997,-4629715.35,-0.0671604383048095,0.04019149008506492
201701,73507985.46000001,-3237059.54,-2641933.16,2891520.9099379997,-5878992.7,-0.07997760601396298,0.03933614683960351
201702,78498946.64,-3416006.53,-2563495.87,2886077.3513019998,-5979502.4,-0.07617302723082757,0.03676580992274573
201703,81432331.0,-3882942.09,-2546050.01,3239502.733027,-6428992.1,-0.07894888947732566,0.03978153017659534
201704,83750952.74,-3304494.77,-2231603.72,3178211.5356860003,-5536098.49,-0.06610191656191063,0.03794836275537754
201705,88193917.04,-4443668.48,-3206408.9,3420801.352911,-7650077.380000001,-0.08674155357597212,0.038787270910753506
201706,91804547.15,-4301709.74,-2874040.8299999996,3493873.688048,-7175750.57,-0.07816334585557617,0.03805774110882916
201707,96113902.51,-4516413.109999999,-3087761.92,3750520.399205,-7604175.029999999,-0.07911628631673588,0.03902162227586986
