Sheet,Rows,Columns,Column_Names
README,13,3,"Sheet Name, Description, Use For"
1_Actuals_Data,7239,20,"CalendarMonth, Segment, Cohort, MOB, OpeningGBV, Coll_Principal, Coll_Interest, InterestRevenue, WO_DebtSold, WO_Other"
2_Historical_Rates,1564,12,"Segment, Cohort, MOB, OpeningGBV, ClosingGBV_Reported, Coll_Principal_Rate, Coll_Interest_Rate, InterestRevenue_Rate, WO_DebtSold_Rate, WO_Other_Rate"
3_Extended_Curves,5308,12,"Segment, Cohort, MOB, OpeningGBV, ClosingGBV_Reported, Coll_Principal_Rate, Coll_Interest_Rate, InterestRevenue_Rate, WO_DebtSold_Rate, WO_Other_Rate"
4_Methodology_Applied,3705,19,"Segment, Cohort, MOB, Coll_Principal_Rate, Coll_Principal_Approach, Coll_Interest_Rate, Coll_Interest_Approach, InterestRevenue_Rate, InterestRevenue_Approach, WO_DebtSold_Rate"
5_Forecast_Output,3705,62,"ForecastMonth, Segment, Cohort, MOB, OpeningGBV, Coll_Principal_Rate, Coll_Principal_Approach, Coll_Interest_Rate, Coll_Interest_Approach, InterestRevenue_Rate"
6_Combined_View,10944,19,"Month, Segment, Cohort, MOB, DataType, OpeningGBV, Coll_Principal, Coll_Interest, InterestRevenue, WO_DebtSold"
coverage ratio curves,49,6,"Unnamed: 0, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5"
7_Rate_Methodology_Rules,166,9,"Segment, Cohort, Metric, MOB_Start, MOB_End, Approach, Param1, Param2, Explanation"
9_Summary,195,12,"ForecastMonth, Segment, OpeningGBV, InterestRevenue, Coll_Principal, Coll_Interest, WO_DebtSold, WO_Other, ClosingGBV, Total_Coverage_Ratio"
10_Details,3705,62,"ForecastMonth, Segment, Cohort, MOB, OpeningGBV, Coll_Principal_Rate, Coll_Principal_Approach, Coll_Interest_Rate, Coll_Interest_Approach, InterestRevenue_Rate"
11_Impairment,3705,27,"ForecastMonth, Segment, Cohort, MOB, OpeningGBV, ClosingGBV, Total_Coverage_Ratio, Total_Provision_Balance, Prior_Provision_Balance, Total_Provision_Movement"
12_Reconciliation,3705,18,"ForecastMonth, Segment, Cohort, OpeningGBV, InterestRevenue, Coll_Principal, Coll_Interest, WO_DebtSold, WO_Other, ClosingGBV_Calculated"
13_Validation,6,6,"Check, Total_Rows, Passed, Failed, Pass_Rate, Status"
