Month,OpeningGBV,Coll_P,Coll_I,Revenue,ClosingGBV,Total_Coll,Coll_Rate,Revenue_Rate
2025-10-31,275981850.63,-11474249.131215515,-5425108.695178867,6154771.931652698,265237264.73525828,-16899357.826394383,-0.06123358397596518,0.022301364809326547
2025-11-30,265237264.73525834,-10985429.327959012,-5210092.018245764,5886021.946607905,254927765.3356614,-16195521.346204776,-0.06106050506277855,0.022191534634030136
2025-12-31,254927765.3356614,-10461569.789102146,-5019375.722302975,5681141.7263009725,245127961.55055732,-15480945.511405122,-0.06072679251324971,0.022285299990060545
2026-01-31,245127961.55055735,-9967949.919850482,-4795822.988590712,5453478.607103248,235817667.24921936,-14763772.908441193,-0.06022884054129493,0.022247476675477003
2026-02-28,235817667.24921933,-9555112.849654648,-4581317.575819066,5241682.487769451,226922919.3115151,-14136430.425473714,-0.05994644332790343,0.02222769205086691
2026-03-31,226922919.3115151,-9095647.898657694,-4374833.242912847,5041620.017652595,218494058.1875971,-13470481.141570542,-0.05936148354886332,0.02221732398361914
2026-04-30,218494058.1875971,-8662235.603926528,-4178176.8724493166,4853409.677231941,210507055.38845322,-12840412.476375844,-0.05876778793385392,0.02221300532147582
2026-05-31,210507055.38845322,-8253417.77964526,-3991133.2978211334,4676220.058223016,202938724.36920986,-12244551.077466395,-0.05816693913119093,0.022214077573760583
2026-06-30,202938724.36920986,-7867793.682529191,-3813380.9491949663,4508807.079290985,195766356.81677666,-11681174.631724156,-0.057560106717101454,0.02221757869675004
2026-07-31,195766356.81677666,-7503996.494841432,-3644543.001949163,4350479.348902775,188968296.6688889,-11148539.496790595,-0.05694818904570428,0.02222281407103322
2026-08-31,188968296.6688889,-7160729.711288651,-3484217.8701915815,4200667.24035946,182524016.32776806,-10644947.581480233,-0.05633192323330489,0.022229481423118758
2026-09-30,182524016.32776806,-6836769.455168721,-3331997.3714846126,4058868.959763343,176414118.46087807,-10168766.826653333,-0.05571193879709911,0.022237451495011027
2026-10-31,176414118.46087807,-6530963.837860137,-3187477.3715137444,3924632.563567932,170620309.81507215,-9718441.209373882,-0.05508879501347315,0.022246703369369306
2026-11-30,170620309.81507215,-6242230.7456089035,-3050264.060436318,3797544.8332210123,165125359.84224793,-9292494.806045221,-0.054463005114203274,0.022257284829320753
2026-12-31,165125359.84224793,-5969554.802883838,-2919981.2976224683,3677224.5011332054,159913048.24287483,-8889536.100506306,-0.05383507481224507,0.022269289857392176
2027-01-31,159913048.24287483,-5711983.989735156,-2796270.614419088,3563315.993064089,154968109.6317847,-8508254.604154244,-0.05320550572728728,0.022282834529250856
2027-02-28,154968109.6317847,-5468625.962755048,-2678775.177414203,3455487.365640008,150276195.85725543,-8147401.140169251,-0.05257469526813005,0.022298054572973063
2027-03-31,150276195.85725543,-5238644.548138836,-2567164.936343912,3353427.475490158,145823813.84826288,-7805809.484482748,-0.051943086793981276,0.022315094259343086
2027-04-30,145823813.84826288,-5021256.2733296035,-2461126.7807614193,3256843.8761242772,141598274.67029607,-7482383.054091023,-0.051311118922433514,0.022334101613287864
2027-05-31,141598274.67029607,-4815727.0301723005,-2360364.138429905,3165461.248919721,137587644.75061363,-7176091.168602206,-0.05067922745041453,0.022355224710825936
2027-06-30,137587644.75061363,-4621368.902866162,-2264596.4165009246,3079050.9041954624,133780730.33544199,-6885965.3193670865,-0.05004784646069302,0.022378832850699918
2027-07-31,133780730.33544199,-4437539.452528714,-2173558.3514415515,2997336.0692610317,130166968.60073277,-6611097.803970266,-0.049417414506510694,0.022404841577299713
2027-08-31,130166968.60073277,-4263634.081332231,-2086999.3112597167,2920081.4334536893,126736416.64159453,-6350633.392591948,-0.04878836359838372,0.02243335206192434
2027-09-30,126736416.64159453,-4099085.63113764,-2004704.507050551,2847069.6174885826,123479696.12089486,-6103790.138188191,-0.04816129649183204,0.022464495154064366
2027-10-31,123479696.12089486,-3943360.2307922435,-1926424.687500398,2778095.0594602786,120388006.26206256,-5869784.918292642,-0.047536437995002276,0.022498395661261897
2027-11-30,120388006.26206256,-3795959.667687176,-1851947.6459637252,2712963.7243570574,117453062.6727687,-5647907.3136509005,-0.04691420257726043,0.02253516615643118
2027-12-31,117453062.6727687,-3656416.6682961523,-1781075.17636086,2651492.2300554784,114667063.05816716,-5437491.844657012,-0.04629501965228605,0.022574909242194012
