Month,Budget_GBV,Actual_GBV,GBV_Diff,Budget_Coll,Actual_Coll,Coll_Diff,Budget_Coll_Rate,Actual_Coll_Rate,Budget_Rev,Actual_Rev,Rev_Diff
2025-10-31,275981850.63,275981850.63,0.0,-16899357.826394383,-19677579.344788656,-2778221.518394273,-0.0612335839759651,-0.07130026594092868,6154771.931652698,6154771.931652684,-1.3969838619232178e-08
2025-11-30,265237264.73525837,262459043.216864,-2778221.518394381,-16195521.346204776,-18620298.089516517,-2424776.7433117405,-0.0610605050627785,-0.07094553824968029,5886021.946607905,5824368.94756144,-61652.99904646538
2025-12-31,254927765.3356614,249724767.0739553,-5202998.261706114,-15480945.511405122,-17629150.796445034,-2148205.285039913,-0.0607267925132497,-0.07059432271379078,5681141.7263009725,5565191.349191077,-115950.37710989546
2026-01-31,245127961.55055732,237776758.00381124,-7351203.546746075,-14763772.908441192,-16703001.064279396,-1939228.1558382045,-0.0602288405412949,-0.0702465674294864,5453478.607103248,5289932.877660329,-163545.72944291867
2026-02-28,235817667.24921933,226527235.54663506,-9290431.702584267,-14136430.425473714,-15834756.997390658,-1698326.5719169434,-0.0599464433279034,-0.06990222151071439,5241682.487769451,5035177.632864795,-206504.8549046563
2026-03-31,226922919.3115151,215934161.0370139,-10988758.274501204,-13470481.141570542,-15020646.934312597,-1550165.792742055,-0.0593614835488633,-0.06956123506432067,5041620.017652595,4797479.214890318,-244140.80276227742
2026-04-30,218494058.1875971,205955134.12035385,-12538924.067243248,-12840412.476375844,-14256947.412311519,-1416534.9359356742,-0.0587677879338539,-0.06922355916595017,4853409.677231941,4574882.490200682,-278527.18703125976
2026-05-31,210507055.3884532,196551596.38527426,-13955459.003178924,-12244551.077466397,-13540271.587810755,-1295720.5103443582,-0.0581669391311909,-0.06888914583664607,4676220.058223016,4366212.409348946,-310007.64887406956
2026-06-30,202938724.36920983,187687544.85568655,-15251179.51352328,-11681174.631724156,-12867472.9442408,-1186298.3125166427,-0.0575601067171014,-0.06855794802012373,4508807.079290985,4169962.7982310113,-338844.2810599739
2026-07-31,195766356.81677663,179328878.9907367,-16437477.82603994,-11148539.496790595,-12235594.988447987,-1087055.4916573912,-0.0569481890457042,-0.06822991956069731,4350479.348902775,3985192.3353779535,-365287.0135248215
2026-08-31,188968296.6688889,171443763.35119155,-17524533.317697346,-10644947.581480231,-11641891.353193903,-996943.7717136722,-0.0563319232333048,-0.06790501518183684,4200667.24035946,3811105.952524871,-389561.2878345889
2026-09-30,182524016.3277681,164002539.23835707,-18521477.08941102,-10168766.826653332,-11083814.846144503,-915048.0194911715,-0.0557119387970991,-0.06758319046533524,4058868.959763343,3646998.5113716032,-411870.44839173974
2026-10-31,176414118.46087807,156977593.3519759,-19436525.108902186,-9718441.209373882,-10559003.91770079,-840562.7083269078,-0.0550887950134731,-0.06726440183106479,3924632.563567932,3492233.9549388858,-432398.6086290465
2026-11-30,170620309.81507215,150343221.99784306,-20277087.817229092,-9292494.80604522,-10065269.212077267,-772774.4060320482,-0.0544630051142032,-0.06694860651730393,3797544.833221012,3346231.9141637865,-451312.91905722534
2026-12-31,165125359.84224793,144075497.6189868,-21049862.223261148,-8889536.100506306,-9600580.650285415,-711044.5497791097,-0.053835074812245,-0.06663576256161559,3677224.501133205,3208459.017825222,-468765.4833079828
2027-01-31,159913048.24287483,138152141.46983457,-21760906.773040265,-8508254.604154244,-9163055.281030705,-654800.6768764611,-0.0532055057272872,-0.06632582878225925,3563315.993064089,3078421.3082339712,-484894.68483011797
2027-02-28,154968109.6317847,132552402.18186799,-22415707.44991672,-8147401.140169251,-8750945.858033447,-603544.7178641958,-0.05257469526813,-0.06601876476011914,3455487.365640008,2955660.697629958,-499826.66801004997
