Month,Budget_GBV,Budget_Coll_Rate,Budget_Coll,Budget_Rev_Rate,Budget_Rev,Actual_GBV,Actual_Coll_Rate,Actual_Coll,Actual_Rev,GBV_Variance,Coll_Variance,Rev_Variance
2025-10-31,275981850.63,-0.06123358397596518,-16899357.826394383,0.022301364809326547,6154771.931652698,275981850.63,-0.07130026594092877,-19677579.344788678,6154771.931652698,0.0,-2778221.518394295,0.0
2025-11-30,265237264.73525834,-0.06106050506277855,-16195521.346204776,0.022191534634030136,5886021.946607905,262459043.216864,-0.07094553824968038,-18620298.08951654,5824368.947561449,-2778221.518394351,-2424776.743311763,-61652.99904645607
2025-12-31,254927765.3356614,-0.06072679251324971,-15480945.511405122,0.022285299990060545,5681141.7263009725,249724767.0739553,-0.07059432271379086,-17629150.796445053,5565191.349191088,-5202998.261706114,-2148205.2850399315,-115950.37710988428
2026-01-31,245127961.55055735,-0.06022884054129493,-14763772.908441193,0.022247476675477003,5453478.607103248,237776758.00381127,-0.07024656742948647,-16703001.064279415,5289932.877660331,-7351203.546746075,-1939228.1558382213,-163545.7294429168
2026-02-28,235817667.24921933,-0.05994644332790343,-14136430.425473714,0.02222769205086691,5241682.487769451,226527235.54663506,-0.06990222151071447,-15834756.997390676,5035177.632864797,-9290431.702584267,-1698326.571916962,-206504.85490465444
2026-03-31,226922919.3115151,-0.05936148354886332,-13470481.141570542,0.02221732398361914,5041620.017652595,215934161.03701386,-0.06956123506432076,-15020646.934312614,4797479.214890326,-10988758.274501234,-1550165.7927420717,-244140.80276226904
2026-04-30,218494058.1875971,-0.05876778793385392,-12840412.476375844,0.02221300532147582,4853409.677231941,205955134.1203538,-0.06922355916595026,-14256947.412311532,4574882.490200684,-12538924.067243308,-1416534.9359356873,-278527.18703125697
2026-05-31,210507055.38845322,-0.05816693913119093,-12244551.077466395,0.022214077573760583,4676220.058223016,196551596.38527423,-0.06888914583664615,-13540271.58781077,4366212.409348962,-13955459.003178984,-1295720.510344375,-310007.64887405373
2026-06-30,202938724.36920986,-0.057560106717101454,-11681174.631724156,0.02221757869675004,4508807.079290985,187687544.85568652,-0.06855794802012381,-12867472.944240812,4169962.7982310187,-15251179.51352334,-1186298.3125166558,-338844.2810599664
2026-07-31,195766356.81677666,-0.05694818904570428,-11148539.496790595,0.02222281407103322,4350479.348902775,179328878.99073666,-0.06822991956069739,-12235594.988448,3985192.3353779567,-16437477.82604,-1087055.4916574042,-365287.01352481823
2026-08-31,188968296.6688889,-0.05633192323330489,-10644947.581480233,0.022229481423118758,4200667.24035946,171443763.3511915,-0.06790501518183692,-11641891.353193915,3811105.95252488,-17524533.317697406,-996943.7717136815,-389561.28783458006
2026-09-30,182524016.32776806,-0.05571193879709911,-10168766.826653333,0.022237451495011027,4058868.959763343,164002539.23835698,-0.06758319046533533,-11083814.84614451,3646998.511371606,-18521477.08941108,-915048.019491177,-411870.44839173695
